Orthogroup	ortologos_universais	protein_mansoni	Total
OG0000000	391	0	391
OG0000001	388	0	388
OG0000002	386	0	386
OG0000003	360	1	361
OG0000004	357	0	357
OG0000005	348	0	348
OG0000006	346	0	346
OG0000007	307	0	307
OG0000008	304	0	304
OG0000009	283	0	283
OG0000010	283	0	283
OG0000011	267	0	267
OG0000012	252	0	252
OG0000013	249	0	249
OG0000014	245	0	245
OG0000015	240	0	240
OG0000016	236	0	236
OG0000017	230	0	230
OG0000018	227	0	227
OG0000019	223	0	223
OG0000020	215	0	215
OG0000021	209	0	209
OG0000022	200	0	200
OG0000023	189	0	189
OG0000024	188	0	188
OG0000025	187	1	188
OG0000026	186	0	186
OG0000027	186	0	186
OG0000028	185	0	185
OG0000029	170	0	170
OG0000030	170	0	170
OG0000031	165	0	165
OG0000032	157	0	157
OG0000033	156	0	156
OG0000034	154	0	154
OG0000035	152	0	152
OG0000036	151	0	151
OG0000037	148	1	149
OG0000038	148	0	148
OG0000039	145	0	145
OG0000040	144	0	144
OG0000041	143	0	143
OG0000042	143	0	143
OG0000043	143	0	143
OG0000044	141	0	141
OG0000045	137	0	137
OG0000046	137	0	137
OG0000047	137	0	137
OG0000048	137	0	137
OG0000049	135	0	135
OG0000050	134	0	134
OG0000051	134	0	134
OG0000052	133	0	133
OG0000053	131	0	131
OG0000054	131	0	131
OG0000055	130	0	130
OG0000056	129	0	129
OG0000057	129	0	129
OG0000058	128	0	128
OG0000059	127	1	128
OG0000060	127	0	127
OG0000061	127	0	127
OG0000062	127	0	127
OG0000063	126	0	126
OG0000064	126	0	126
OG0000065	126	0	126
OG0000066	125	0	125
OG0000067	125	0	125
OG0000068	125	0	125
OG0000069	124	0	124
OG0000070	123	0	123
OG0000071	123	0	123
OG0000072	123	0	123
OG0000073	123	0	123
OG0000074	122	0	122
OG0000075	122	0	122
OG0000076	121	0	121
OG0000077	120	0	120
OG0000078	120	0	120
OG0000079	119	0	119
OG0000080	119	0	119
OG0000081	119	0	119
OG0000082	119	0	119
OG0000083	118	0	118
OG0000084	118	0	118
OG0000085	117	0	117
OG0000086	117	0	117
OG0000087	117	0	117
OG0000088	117	0	117
OG0000089	116	0	116
OG0000090	116	0	116
OG0000091	116	0	116
OG0000092	116	0	116
OG0000093	116	0	116
OG0000094	115	0	115
OG0000095	115	0	115
OG0000096	115	0	115
OG0000097	113	1	114
OG0000098	113	0	113
OG0000099	0	113	113
OG0000100	112	0	112
OG0000101	112	0	112
OG0000102	112	0	112
OG0000103	111	0	111
OG0000104	111	0	111
OG0000105	110	0	110
OG0000106	109	0	109
OG0000107	109	0	109
OG0000108	108	0	108
OG0000109	108	0	108
OG0000110	108	0	108
OG0000111	107	1	108
OG0000112	108	0	108
OG0000113	107	0	107
OG0000114	106	0	106
OG0000115	105	0	105
OG0000116	104	0	104
OG0000117	103	0	103
OG0000118	103	0	103
OG0000119	102	0	102
OG0000120	102	0	102
OG0000121	102	0	102
OG0000122	102	0	102
OG0000123	102	0	102
OG0000124	100	0	100
OG0000125	100	0	100
OG0000126	100	0	100
OG0000127	100	0	100
OG0000128	99	1	100
OG0000129	100	0	100
OG0000130	99	0	99
OG0000131	99	0	99
OG0000132	99	0	99
OG0000133	98	0	98
OG0000134	98	0	98
OG0000135	98	0	98
OG0000136	97	0	97
OG0000137	97	0	97
OG0000138	97	0	97
OG0000139	96	0	96
OG0000140	96	0	96
OG0000141	96	0	96
OG0000142	95	0	95
OG0000143	95	0	95
OG0000144	95	0	95
OG0000145	94	0	94
OG0000146	94	0	94
OG0000147	93	0	93
OG0000148	93	0	93
OG0000149	0	93	93
OG0000150	92	0	92
OG0000151	90	0	90
OG0000152	89	0	89
OG0000153	89	0	89
OG0000154	88	0	88
OG0000155	88	0	88
OG0000156	88	0	88
OG0000157	87	0	87
OG0000158	86	0	86
OG0000159	86	0	86
OG0000160	86	0	86
OG0000161	86	0	86
OG0000162	86	0	86
OG0000163	85	0	85
OG0000164	85	0	85
OG0000165	84	0	84
OG0000166	84	0	84
OG0000167	84	0	84
OG0000168	84	0	84
OG0000169	84	0	84
OG0000170	83	0	83
OG0000171	82	0	82
OG0000172	82	0	82
OG0000173	82	0	82
OG0000174	82	0	82
OG0000175	81	0	81
OG0000176	81	0	81
OG0000177	81	0	81
OG0000178	80	0	80
OG0000179	80	0	80
OG0000180	77	0	77
OG0000181	77	0	77
OG0000182	77	0	77
OG0000183	76	0	76
OG0000184	76	0	76
OG0000185	76	0	76
OG0000186	76	0	76
OG0000187	76	0	76
OG0000188	75	0	75
OG0000189	75	0	75
OG0000190	75	0	75
OG0000191	75	0	75
OG0000192	75	0	75
OG0000193	74	0	74
OG0000194	74	0	74
OG0000195	74	0	74
OG0000196	73	0	73
OG0000197	73	0	73
OG0000198	73	0	73
OG0000199	72	0	72
OG0000200	72	0	72
OG0000201	72	0	72
OG0000202	71	0	71
OG0000203	71	0	71
OG0000204	70	0	70
OG0000205	70	0	70
OG0000206	69	0	69
OG0000207	69	0	69
OG0000208	69	0	69
OG0000209	68	0	68
OG0000210	68	0	68
OG0000211	68	0	68
OG0000212	68	0	68
OG0000213	67	0	67
OG0000214	67	0	67
OG0000215	67	0	67
OG0000216	67	0	67
OG0000217	66	0	66
OG0000218	66	0	66
OG0000219	66	0	66
OG0000220	66	0	66
OG0000221	64	1	65
OG0000222	65	0	65
OG0000223	65	0	65
OG0000224	64	0	64
OG0000225	64	0	64
OG0000226	64	0	64
OG0000227	64	0	64
OG0000228	63	0	63
OG0000229	63	0	63
OG0000230	62	0	62
OG0000231	62	0	62
OG0000232	61	0	61
OG0000233	61	0	61
OG0000234	61	0	61
OG0000235	60	0	60
OG0000236	59	0	59
OG0000237	58	0	58
OG0000238	58	0	58
OG0000239	57	0	57
OG0000240	57	0	57
OG0000241	57	0	57
OG0000242	57	0	57
OG0000243	57	0	57
OG0000244	56	0	56
OG0000245	56	0	56
OG0000246	56	0	56
OG0000247	56	0	56
OG0000248	56	0	56
OG0000249	55	0	55
OG0000250	55	0	55
OG0000251	54	0	54
OG0000252	54	0	54
OG0000253	54	0	54
OG0000254	53	0	53
OG0000255	53	0	53
OG0000256	0	53	53
OG0000257	52	0	52
OG0000258	52	0	52
OG0000259	52	0	52
OG0000260	52	0	52
OG0000261	52	0	52
OG0000262	52	0	52
OG0000263	0	52	52
OG0000264	51	0	51
OG0000265	51	0	51
OG0000266	51	0	51
OG0000267	51	0	51
OG0000268	51	0	51
OG0000269	51	0	51
OG0000270	51	0	51
