Orthogroup	protein_mansoni	sequence_Caenorhabditis elegans	Total
OG0000000	113	0	113
OG0000001	81	0	81
OG0000002	52	0	52
OG0000003	49	1	50
OG0000004	45	0	45
OG0000005	43	0	43
OG0000006	42	0	42
OG0000007	39	0	39
OG0000008	33	0	33
OG0000009	32	0	32
OG0000010	28	0	28
OG0000011	23	0	23
OG0000012	23	0	23
OG0000013	21	1	22
OG0000014	22	0	22
OG0000015	22	0	22
OG0000016	22	0	22
OG0000017	22	0	22
OG0000018	21	0	21
OG0000019	21	0	21
OG0000020	21	0	21
OG0000021	21	0	21
OG0000022	20	1	21
OG0000023	20	0	20
OG0000024	20	0	20
OG0000025	20	0	20
OG0000026	19	0	19
OG0000027	19	0	19
OG0000028	19	0	19
OG0000029	19	0	19
OG0000030	19	0	19
OG0000031	17	1	18
OG0000032	18	0	18
OG0000033	18	0	18
OG0000034	18	0	18
OG0000035	17	1	18
OG0000036	18	0	18
OG0000037	17	0	17
OG0000038	16	0	16
OG0000039	16	0	16
OG0000040	16	0	16
OG0000041	15	0	15
OG0000042	14	0	14
OG0000043	14	0	14
OG0000044	13	1	14
OG0000045	14	0	14
OG0000046	14	0	14
OG0000047	14	0	14
OG0000048	14	0	14
OG0000049	14	0	14
OG0000050	13	0	13
OG0000051	13	0	13
OG0000052	13	0	13
OG0000053	13	0	13
OG0000054	13	0	13
OG0000055	13	0	13
OG0000056	12	0	12
OG0000057	12	0	12
OG0000058	12	0	12
OG0000059	12	0	12
OG0000060	12	0	12
OG0000061	12	0	12
OG0000062	12	0	12
OG0000063	12	0	12
OG0000064	12	0	12
OG0000065	12	0	12
OG0000066	12	0	12
OG0000067	12	0	12
OG0000068	12	0	12
OG0000069	12	0	12
OG0000070	12	0	12
OG0000071	12	0	12
OG0000072	11	0	11
OG0000073	11	0	11
OG0000074	11	0	11
OG0000075	11	0	11
OG0000076	7	4	11
OG0000077	11	0	11
OG0000078	10	1	11
OG0000079	11	0	11
OG0000080	11	0	11
OG0000081	11	0	11
OG0000082	11	0	11
OG0000083	11	0	11
OG0000084	11	0	11
OG0000085	11	0	11
OG0000086	11	0	11
OG0000087	11	0	11
OG0000088	11	0	11
OG0000089	11	0	11
OG0000090	10	0	10
OG0000091	10	0	10
OG0000092	10	0	10
OG0000093	10	0	10
OG0000094	10	0	10
OG0000095	10	0	10
OG0000096	10	0	10
OG0000097	10	0	10
OG0000098	10	0	10
OG0000099	10	0	10
OG0000100	10	0	10
OG0000101	10	0	10
OG0000102	10	0	10
OG0000103	10	0	10
OG0000104	10	0	10
OG0000105	10	0	10
OG0000106	10	0	10
OG0000107	9	0	9
OG0000108	9	0	9
OG0000109	9	0	9
OG0000110	4	5	9
OG0000111	9	0	9
OG0000112	9	0	9
OG0000113	9	0	9
OG0000114	9	0	9
OG0000115	9	0	9
OG0000116	9	0	9
OG0000117	9	0	9
OG0000118	9	0	9
OG0000119	9	0	9
OG0000120	9	0	9
OG0000121	9	0	9
OG0000122	7	1	8
OG0000123	8	0	8
OG0000124	8	0	8
OG0000125	8	0	8
OG0000126	8	0	8
OG0000127	8	0	8
OG0000128	8	0	8
OG0000129	8	0	8
OG0000130	8	0	8
OG0000131	8	0	8
OG0000132	8	0	8
OG0000133	8	0	8
OG0000134	8	0	8
OG0000135	8	0	8
OG0000136	8	0	8
OG0000137	8	0	8
OG0000138	7	1	8
OG0000139	8	0	8
OG0000140	8	0	8
OG0000141	8	0	8
OG0000142	8	0	8
OG0000143	8	0	8
OG0000144	8	0	8
OG0000145	8	0	8
OG0000146	7	0	7
OG0000147	7	0	7
OG0000148	7	0	7
OG0000149	7	0	7
OG0000150	7	0	7
OG0000151	7	0	7
OG0000152	7	0	7
OG0000153	7	0	7
OG0000154	7	0	7
OG0000155	7	0	7
OG0000156	7	0	7
OG0000157	7	0	7
OG0000158	7	0	7
OG0000159	7	0	7
OG0000160	7	0	7
OG0000161	7	0	7
OG0000162	7	0	7
OG0000163	7	0	7
OG0000164	6	0	6
OG0000165	6	0	6
OG0000166	6	0	6
OG0000167	6	0	6
OG0000168	6	0	6
OG0000169	6	0	6
OG0000170	6	0	6
OG0000171	6	0	6
OG0000172	6	0	6
OG0000173	6	0	6
OG0000174	5	1	6
OG0000175	5	1	6
OG0000176	6	0	6
OG0000177	4	2	6
OG0000178	6	0	6
OG0000179	6	0	6
OG0000180	6	0	6
OG0000181	6	0	6
OG0000182	6	0	6
OG0000183	6	0	6
OG0000184	6	0	6
OG0000185	6	0	6
OG0000186	6	0	6
OG0000187	6	0	6
OG0000188	6	0	6
OG0000189	6	0	6
OG0000190	6	0	6
OG0000191	6	0	6
OG0000192	6	0	6
OG0000193	6	0	6
OG0000194	6	0	6
OG0000195	6	0	6
OG0000196	6	0	6
OG0000197	6	0	6
OG0000198	6	0	6
OG0000199	6	0	6
OG0000200	6	0	6
OG0000201	6	0	6
OG0000202	6	0	6
OG0000203	5	0	5
OG0000204	5	0	5
OG0000205	5	0	5
OG0000206	5	0	5
OG0000207	5	0	5
OG0000208	5	0	5
OG0000209	3	2	5
OG0000210	5	0	5
OG0000211	5	0	5
OG0000212	5	0	5
OG0000213	5	0	5
OG0000214	5	0	5
OG0000215	5	0	5
OG0000216	5	0	5
OG0000217	5	0	5
OG0000218	5	0	5
OG0000219	5	0	5
OG0000220	5	0	5
OG0000221	5	0	5
OG0000222	5	0	5
OG0000223	5	0	5
OG0000224	5	0	5
OG0000225	5	0	5
OG0000226	5	0	5
OG0000227	4	1	5
OG0000228	5	0	5
OG0000229	5	0	5
OG0000230	5	0	5
OG0000231	5	0	5
OG0000232	5	0	5
OG0000233	5	0	5
OG0000234	5	0	5
OG0000235	5	0	5
OG0000236	3	2	5
OG0000237	5	0	5
OG0000238	5	0	5
OG0000239	5	0	5
OG0000240	5	0	5
OG0000241	5	0	5
OG0000242	5	0	5
OG0000243	5	0	5
OG0000244	5	0	5
OG0000245	5	0	5
OG0000246	5	0	5
OG0000247	5	0	5
OG0000248	5	0	5
OG0000249	5	0	5
OG0000250	5	0	5
OG0000251	5	0	5
OG0000252	5	0	5
OG0000253	5	0	5
OG0000254	5	0	5
OG0000255	5	0	5
OG0000256	5	0	5
OG0000257	3	2	5
OG0000258	5	0	5
OG0000259	5	0	5
OG0000260	4	0	4
OG0000261	4	0	4
OG0000262	4	0	4
OG0000263	4	0	4
OG0000264	4	0	4
OG0000265	4	0	4
OG0000266	4	0	4
OG0000267	3	1	4
OG0000268	4	0	4
OG0000269	4	0	4
OG0000270	4	0	4
OG0000271	4	0	4
OG0000272	4	0	4
OG0000273	4	0	4
OG0000274	3	1	4
OG0000275	4	0	4
OG0000276	4	0	4
OG0000277	4	0	4
OG0000278	4	0	4
OG0000279	2	2	4
OG0000280	4	0	4
OG0000281	4	0	4
OG0000282	4	0	4
OG0000283	4	0	4
OG0000284	4	0	4
OG0000285	4	0	4
OG0000286	4	0	4
OG0000287	4	0	4
OG0000288	4	0	4
OG0000289	4	0	4
OG0000290	4	0	4
OG0000291	4	0	4
OG0000292	4	0	4
OG0000293	4	0	4
OG0000294	4	0	4
OG0000295	3	1	4
OG0000296	4	0	4
OG0000297	4	0	4
OG0000298	4	0	4
OG0000299	4	0	4
OG0000300	4	0	4
OG0000301	4	0	4
OG0000302	4	0	4
OG0000303	4	0	4
OG0000304	2	2	4
OG0000305	4	0	4
OG0000306	4	0	4
OG0000307	4	0	4
OG0000308	4	0	4
OG0000309	4	0	4
OG0000310	4	0	4
OG0000311	4	0	4
OG0000312	4	0	4
