Orthogroup	protein_mansoni	sequence_Drosophila melanogaster	Total
OG0000000	113	0	113
OG0000001	52	0	52
OG0000002	49	1	50
OG0000003	42	0	42
OG0000004	36	0	36
OG0000005	33	0	33
OG0000006	32	0	32
OG0000007	28	0	28
OG0000008	26	0	26
OG0000009	26	0	26
OG0000010	23	0	23
OG0000011	22	0	22
OG0000012	22	0	22
OG0000013	22	0	22
OG0000014	22	0	22
OG0000015	21	0	21
OG0000016	21	0	21
OG0000017	21	0	21
OG0000018	20	1	21
OG0000019	21	0	21
OG0000020	20	0	20
OG0000021	20	0	20
OG0000022	19	0	19
OG0000023	19	0	19
OG0000024	19	0	19
OG0000025	18	0	18
OG0000026	17	0	17
OG0000027	16	0	16
OG0000028	8	8	16
OG0000029	16	0	16
OG0000030	16	0	16
OG0000031	16	0	16
OG0000032	16	0	16
OG0000033	16	0	16
OG0000034	15	0	15
OG0000035	15	0	15
OG0000036	15	0	15
OG0000037	15	0	15
OG0000038	15	0	15
OG0000039	15	0	15
OG0000040	14	0	14
OG0000041	13	1	14
OG0000042	14	0	14
OG0000043	14	0	14
OG0000044	14	0	14
OG0000045	14	0	14
OG0000046	13	0	13
OG0000047	13	0	13
OG0000048	13	0	13
OG0000049	13	0	13
OG0000050	13	0	13
OG0000051	13	0	13
OG0000052	12	0	12
OG0000053	12	0	12
OG0000054	12	0	12
OG0000055	6	6	12
OG0000056	12	0	12
OG0000057	12	0	12
OG0000058	12	0	12
OG0000059	12	0	12
OG0000060	12	0	12
OG0000061	12	0	12
OG0000062	12	0	12
OG0000063	11	0	11
OG0000064	11	0	11
OG0000065	11	0	11
OG0000066	10	1	11
OG0000067	11	0	11
OG0000068	10	1	11
OG0000069	11	0	11
OG0000070	11	0	11
OG0000071	11	0	11
OG0000072	11	0	11
OG0000073	11	0	11
OG0000074	11	0	11
OG0000075	11	0	11
OG0000076	11	0	11
OG0000077	10	1	11
OG0000078	11	0	11
OG0000079	11	0	11
OG0000080	10	0	10
OG0000081	10	0	10
OG0000082	10	0	10
OG0000083	10	0	10
OG0000084	10	0	10
OG0000085	10	0	10
OG0000086	10	0	10
OG0000087	10	0	10
OG0000088	10	0	10
OG0000089	10	0	10
OG0000090	9	1	10
OG0000091	10	0	10
OG0000092	10	0	10
OG0000093	10	0	10
OG0000094	10	0	10
OG0000095	9	0	9
OG0000096	9	0	9
OG0000097	9	0	9
OG0000098	9	0	9
OG0000099	9	0	9
OG0000100	9	0	9
OG0000101	9	0	9
OG0000102	9	0	9
OG0000103	9	0	9
OG0000104	9	0	9
OG0000105	9	0	9
OG0000106	9	0	9
OG0000107	9	0	9
OG0000108	9	0	9
OG0000109	8	0	8
OG0000110	3	5	8
OG0000111	8	0	8
OG0000112	8	0	8
OG0000113	8	0	8
OG0000114	8	0	8
OG0000115	8	0	8
OG0000116	8	0	8
OG0000117	8	0	8
OG0000118	4	4	8
OG0000119	8	0	8
OG0000120	8	0	8
OG0000121	8	0	8
OG0000122	8	0	8
OG0000123	8	0	8
OG0000124	8	0	8
OG0000125	8	0	8
OG0000126	8	0	8
OG0000127	2	6	8
OG0000128	7	0	7
OG0000129	7	0	7
OG0000130	7	0	7
OG0000131	7	0	7
OG0000132	7	0	7
OG0000133	7	0	7
OG0000134	7	0	7
OG0000135	7	0	7
OG0000136	7	0	7
OG0000137	7	0	7
OG0000138	7	0	7
OG0000139	7	0	7
OG0000140	7	0	7
OG0000141	7	0	7
OG0000142	6	1	7
OG0000143	7	0	7
OG0000144	7	0	7
OG0000145	7	0	7
OG0000146	7	0	7
OG0000147	7	0	7
OG0000148	7	0	7
OG0000149	7	0	7
OG0000150	7	0	7
OG0000151	7	0	7
OG0000152	7	0	7
OG0000153	7	0	7
OG0000154	4	3	7
OG0000155	6	0	6
OG0000156	6	0	6
OG0000157	6	0	6
OG0000158	6	0	6
OG0000159	6	0	6
OG0000160	6	0	6
OG0000161	4	2	6
OG0000162	6	0	6
OG0000163	6	0	6
OG0000164	6	0	6
OG0000165	6	0	6
OG0000166	6	0	6
OG0000167	6	0	6
OG0000168	6	0	6
OG0000169	6	0	6
OG0000170	6	0	6
OG0000171	6	0	6
OG0000172	6	0	6
OG0000173	6	0	6
OG0000174	6	0	6
OG0000175	6	0	6
OG0000176	6	0	6
OG0000177	6	0	6
OG0000178	4	2	6
OG0000179	6	0	6
OG0000180	6	0	6
OG0000181	6	0	6
OG0000182	6	0	6
OG0000183	6	0	6
OG0000184	6	0	6
OG0000185	6	0	6
OG0000186	6	0	6
OG0000187	6	0	6
OG0000188	6	0	6
OG0000189	6	0	6
OG0000190	6	0	6
OG0000191	6	0	6
OG0000192	5	0	5
OG0000193	5	0	5
OG0000194	5	0	5
OG0000195	5	0	5
OG0000196	4	1	5
OG0000197	5	0	5
OG0000198	5	0	5
OG0000199	4	1	5
OG0000200	4	1	5
OG0000201	5	0	5
OG0000202	5	0	5
OG0000203	5	0	5
OG0000204	5	0	5
OG0000205	1	4	5
OG0000206	5	0	5
OG0000207	5	0	5
OG0000208	5	0	5
OG0000209	5	0	5
OG0000210	5	0	5
OG0000211	5	0	5
OG0000212	4	1	5
OG0000213	5	0	5
OG0000214	5	0	5
OG0000215	5	0	5
OG0000216	5	0	5
OG0000217	5	0	5
OG0000218	3	2	5
OG0000219	5	0	5
OG0000220	5	0	5
OG0000221	5	0	5
OG0000222	5	0	5
OG0000223	4	1	5
OG0000224	5	0	5
OG0000225	5	0	5
OG0000226	5	0	5
OG0000227	5	0	5
OG0000228	5	0	5
OG0000229	5	0	5
OG0000230	5	0	5
OG0000231	2	3	5
OG0000232	5	0	5
OG0000233	5	0	5
OG0000234	5	0	5
OG0000235	3	2	5
OG0000236	5	0	5
OG0000237	5	0	5
OG0000238	5	0	5
OG0000239	2	3	5
OG0000240	2	3	5
OG0000241	5	0	5
OG0000242	5	0	5
OG0000243	5	0	5
OG0000244	3	2	5
OG0000245	5	0	5
OG0000246	5	0	5
OG0000247	5	0	5
OG0000248	5	0	5
OG0000249	5	0	5
OG0000250	5	0	5
OG0000251	5	0	5
OG0000252	2	3	5
OG0000253	5	0	5
OG0000254	5	0	5
OG0000255	3	2	5
