Orthogroup	protein_mansoni	sequence_Saccharomyces cerevisiae	Total
OG0000000	111	0	111
OG0000001	52	0	52
OG0000002	49	1	50
OG0000003	43	0	43
OG0000004	42	0	42
OG0000005	39	0	39
OG0000006	32	0	32
OG0000007	29	0	29
OG0000008	28	0	28
OG0000009	23	0	23
OG0000010	23	0	23
OG0000011	22	0	22
OG0000012	22	0	22
OG0000013	22	0	22
OG0000014	21	0	21
OG0000015	21	0	21
OG0000016	21	0	21
OG0000017	21	0	21
OG0000018	20	0	20
OG0000019	20	0	20
OG0000020	20	0	20
OG0000021	19	0	19
OG0000022	19	0	19
OG0000023	19	0	19
OG0000024	19	0	19
OG0000025	17	1	18
OG0000026	18	0	18
OG0000027	18	0	18
OG0000028	17	1	18
OG0000029	17	0	17
OG0000030	7	10	17
OG0000031	15	2	17
OG0000032	17	0	17
OG0000033	16	0	16
OG0000034	16	0	16
OG0000035	16	0	16
OG0000036	16	0	16
OG0000037	16	0	16
OG0000038	15	0	15
OG0000039	15	0	15
OG0000040	5	10	15
OG0000041	14	0	14
OG0000042	14	0	14
OG0000043	14	0	14
OG0000044	12	1	13
OG0000045	12	1	13
OG0000046	13	0	13
OG0000047	13	0	13
OG0000048	13	0	13
OG0000049	13	0	13
OG0000050	13	0	13
OG0000051	7	6	13
OG0000052	13	0	13
OG0000053	13	0	13
OG0000054	12	0	12
OG0000055	12	0	12
OG0000056	12	0	12
OG0000057	12	0	12
OG0000058	12	0	12
OG0000059	12	0	12
OG0000060	12	0	12
OG0000061	12	0	12
OG0000062	12	0	12
OG0000063	12	0	12
OG0000064	12	0	12
OG0000065	12	0	12
OG0000066	12	0	12
OG0000067	12	0	12
OG0000068	11	0	11
OG0000069	10	1	11
OG0000070	11	0	11
OG0000071	11	0	11
OG0000072	5	6	11
OG0000073	11	0	11
OG0000074	11	0	11
OG0000075	11	0	11
OG0000076	11	0	11
OG0000077	11	0	11
OG0000078	11	0	11
OG0000079	11	0	11
OG0000080	11	0	11
OG0000081	10	0	10
OG0000082	10	0	10
OG0000083	10	0	10
OG0000084	10	0	10
OG0000085	10	0	10
OG0000086	10	0	10
OG0000087	10	0	10
OG0000088	10	0	10
OG0000089	10	0	10
OG0000090	10	0	10
OG0000091	10	0	10
OG0000092	10	0	10
OG0000093	10	0	10
OG0000094	10	0	10
OG0000095	10	0	10
OG0000096	9	0	9
OG0000097	9	0	9
OG0000098	9	0	9
OG0000099	9	0	9
OG0000100	9	0	9
OG0000101	9	0	9
OG0000102	9	0	9
OG0000103	9	0	9
OG0000104	9	0	9
OG0000105	9	0	9
OG0000106	9	0	9
OG0000107	9	0	9
OG0000108	9	0	9
OG0000109	9	0	9
OG0000110	9	0	9
OG0000111	9	0	9
OG0000112	8	0	8
OG0000113	8	0	8
OG0000114	8	0	8
OG0000115	8	0	8
OG0000116	7	1	8
OG0000117	8	0	8
OG0000118	8	0	8
OG0000119	6	2	8
