Orthogroup	protein_mansoni	resultado_cel	Total
OG0000000	111	3	114
OG0000001	0	74	74
OG0000002	0	71	71
OG0000003	0	67	67
OG0000004	48	2	50
OG0000005	50	0	50
OG0000006	0	44	44
OG0000007	0	44	44
OG0000008	2	40	42
OG0000009	0	42	42
OG0000010	2	37	39
OG0000011	0	39	39
OG0000012	1	36	37
OG0000013	0	37	37
OG0000014	0	37	37
OG0000015	0	36	36
OG0000016	0	35	35
OG0000017	32	1	33
OG0000018	0	30	30
OG0000019	28	0	28
OG0000020	0	28	28
OG0000021	0	28	28
OG0000022	0	27	27
OG0000023	0	27	27
OG0000024	1	24	25
OG0000025	0	25	25
OG0000026	0	25	25
OG0000027	23	1	24
OG0000028	0	24	24
OG0000029	0	23	23
OG0000030	0	23	23
OG0000031	22	0	22
OG0000032	22	0	22
OG0000033	0	22	22
OG0000034	0	22	22
OG0000035	0	22	22
OG0000036	21	0	21
OG0000037	20	1	21
OG0000038	1	19	20
OG0000039	0	20	20
OG0000040	0	20	20
OG0000041	0	19	19
OG0000042	18	0	18
OG0000043	18	0	18
OG0000044	1	17	18
OG0000045	0	18	18
OG0000046	0	18	18
OG0000047	0	18	18
OG0000048	0	18	18
OG0000049	4	13	17
OG0000050	1	16	17
OG0000051	17	0	17
OG0000052	1	16	17
OG0000053	0	17	17
OG0000054	0	17	17
OG0000055	0	17	17
OG0000056	0	17	17
OG0000057	0	16	16
OG0000058	0	16	16
OG0000059	0	16	16
OG0000060	0	16	16
OG0000061	14	1	15
OG0000062	15	0	15
OG0000063	1	14	15
OG0000064	14	0	14
OG0000065	1	13	14
OG0000066	0	14	14
OG0000067	0	14	14
OG0000068	0	14	14
OG0000069	0	14	14
OG0000070	1	12	13
OG0000071	12	1	13
OG0000072	0	13	13
OG0000073	0	13	13
OG0000074	0	13	13
OG0000075	0	13	13
OG0000076	10	2	12
OG0000077	12	0	12
OG0000078	0	12	12
OG0000079	0	12	12
OG0000080	0	12	12
OG0000081	0	12	12
OG0000082	0	12	12
OG0000083	0	12	12
OG0000084	0	12	12
OG0000085	11	0	11
OG0000086	11	0	11
OG0000087	3	8	11
OG0000088	11	0	11
OG0000089	0	11	11
OG0000090	0	11	11
OG0000091	0	11	11
OG0000092	0	11	11
OG0000093	0	11	11
OG0000094	0	11	11
OG0000095	0	11	11
OG0000096	0	11	11
OG0000097	10	0	10
OG0000098	9	1	10
OG0000099	1	9	10
OG0000100	10	0	10
OG0000101	10	0	10
OG0000102	0	10	10
OG0000103	0	10	10
OG0000104	0	10	10
OG0000105	0	10	10
OG0000106	0	10	10
OG0000107	0	10	10
OG0000108	0	10	10
OG0000109	0	10	10
OG0000110	9	0	9
OG0000111	2	7	9
OG0000112	9	0	9
OG0000113	9	0	9
OG0000114	6	3	9
OG0000115	8	1	9
OG0000116	4	5	9
OG0000117	9	0	9
OG0000118	9	0	9
OG0000119	9	0	9
OG0000120	1	8	9
OG0000121	9	0	9
OG0000122	9	0	9
OG0000123	9	0	9
OG0000124	8	1	9
OG0000125	9	0	9
