Orthogroup	protein_mansoni	resultado_cel	resultado_dme	resultado_sce	Total
OG0000000	113	0	0	0	113
OG0000001	1	0	75	0	76
OG0000002	0	71	0	0	71
OG0000003	0	67	0	0	67
OG0000004	0	52	0	0	52
OG0000005	50	0	0	0	50
OG0000006	0	0	0	48	48
OG0000007	0	44	0	0	44
OG0000008	0	44	0	0	44
OG0000009	2	41	0	0	43
OG0000010	11	15	16	0	42
OG0000011	4	28	9	1	42
OG0000012	1	2	36	0	39
OG0000013	0	39	0	0	39
OG0000014	0	0	38	1	39
OG0000015	1	35	1	0	37
OG0000016	0	2	33	1	36
OG0000017	0	35	0	0	35
OG0000018	2	9	21	1	33
OG0000019	9	10	11	3	33
OG0000020	32	0	0	0	32
OG0000021	1	20	11	0	32
OG0000022	0	32	0	0	32
OG0000023	0	10	21	0	31
OG0000024	0	31	0	0	31
OG0000025	0	0	29	2	31
OG0000026	0	30	0	0	30
OG0000027	0	0	30	0	30
OG0000028	1	23	5	0	29
OG0000029	10	10	8	1	29
OG0000030	28	0	0	0	28
OG0000031	0	28	0	0	28
OG0000032	0	28	0	0	28
OG0000033	0	0	28	0	28
OG0000034	0	0	0	28	28
OG0000035	0	27	0	0	27
OG0000036	17	4	1	4	26
OG0000037	4	17	3	2	26
OG0000038	1	22	3	0	26
OG0000039	3	7	13	2	25
OG0000040	1	22	2	0	25
OG0000041	0	25	0	0	25
OG0000042	0	2	23	0	25
OG0000043	0	25	0	0	25
OG0000044	5	10	6	3	24
OG0000045	23	0	1	0	24
OG0000046	4	15	4	1	24
OG0000047	0	24	0	0	24
OG0000048	0	24	0	0	24
OG0000049	0	24	0	0	24
OG0000050	9	7	7	0	23
OG0000051	10	3	9	1	23
OG0000052	6	10	5	2	23
OG0000053	0	23	0	0	23
OG0000054	0	22	0	1	23
OG0000055	0	0	23	0	23
OG0000056	22	0	0	0	22
OG0000057	22	0	0	0	22
OG0000058	6	7	7	2	22
OG0000059	0	22	0	0	22
OG0000060	0	22	0	0	22
OG0000061	20	1	0	0	21
OG0000062	2	8	8	3	21
OG0000063	1	19	1	0	21
OG0000064	20	0	0	0	20
OG0000065	9	5	5	1	20
OG0000066	1	6	12	1	20
OG0000067	1	17	2	0	20
OG0000068	1	1	18	0	20
OG0000069	0	20	0	0	20
OG0000070	0	20	0	0	20
OG0000071	1	2	16	0	19
OG0000072	0	19	0	0	19
OG0000073	0	18	1	0	19
OG0000074	18	0	0	0	18
OG0000075	18	0	0	0	18
OG0000076	2	0	16	0	18
OG0000077	4	6	6	2	18
OG0000078	4	5	7	2	18
OG0000079	2	0	16	0	18
OG0000080	1	1	16	0	18
OG0000081	0	2	16	0	18
OG0000082	0	0	18	0	18
OG0000083	0	0	18	0	18
OG0000084	0	0	0	18	18
OG0000085	8	5	3	1	17
OG0000086	5	9	2	1	17
OG0000087	1	4	10	2	17
OG0000088	1	8	7	1	17
OG0000089	17	0	0	0	17
OG0000090	3	9	4	1	17
OG0000091	4	4	8	1	17
OG0000092	2	4	11	0	17
OG0000093	0	2	9	6	17
OG0000094	0	17	0	0	17
OG0000095	0	16	1	0	17
OG0000096	0	0	0	17	17
OG0000097	2	3	11	0	16
OG0000098	14	1	1	0	16
OG0000099	2	0	13	1	16
OG0000100	0	15	0	1	16
OG0000101	0	16	0	0	16
OG0000102	0	15	1	0	16
OG0000103	0	16	0	0	16
OG0000104	0	0	16	0	16
OG0000105	0	0	16	0	16
OG0000106	0	0	16	0	16
OG0000107	5	4	3	3	15
OG0000108	12	1	2	0	15
OG0000109	4	4	3	4	15
OG0000110	4	4	5	2	15
OG0000111	6	4	3	2	15
OG0000112	5	5	4	1	15
OG0000113	10	3	1	1	15
OG0000114	2	7	3	3	15
OG0000115	1	4	7	3	15
OG0000116	1	14	0	0	15
OG0000117	0	0	15	0	15
OG0000118	0	0	14	1	15
OG0000119	1	6	6	1	14
OG0000120	4	2	5	3	14
OG0000121	4	4	6	0	14
OG0000122	4	4	4	2	14
OG0000123	3	9	2	0	14
OG0000124	3	4	4	3	14
OG0000125	4	7	2	1	14
OG0000126	3	9	1	1	14
OG0000127	4	4	3	3	14
OG0000128	0	14	0	0	14
OG0000129	0	12	1	1	14
OG0000130	0	14	0	0	14
OG0000131	0	14	0	0	14
OG0000132	0	12	2	0	14
OG0000133	0	14	0	0	14
OG0000134	0	0	14	0	14
OG0000135	0	0	14	0	14
OG0000136	1	4	6	2	13
OG0000137	5	6	0	2	13
OG0000138	1	1	11	0	13
OG0000139	13	0	0	0	13
OG0000140	3	6	4	0	13
OG0000141	4	5	3	1	13
OG0000142	3	5	3	2	13
OG0000143	4	2	5	2	13
OG0000144	3	5	2	3	13
OG0000145	1	7	2	3	13
OG0000146	2	3	7	1	13
OG0000147	3	2	6	2	13
OG0000148	1	5	6	1	13
OG0000149	1	1	11	0	13
OG0000150	2	8	1	2	13
OG0000151	1	4	8	0	13
OG0000152	0	13	0	0	13
OG0000153	0	13	0	0	13
OG0000154	0	13	0	0	13
OG0000155	0	2	11	0	13
OG0000156	0	0	13	0	13
OG0000157	0	0	13	0	13
OG0000158	3	8	1	0	12
OG0000159	2	5	5	0	12
OG0000160	2	7	1	2	12
OG0000161	5	1	5	1	12
OG0000162	3	3	3	3	12
OG0000163	2	4	2	4	12
OG0000164	4	2	3	3	12
OG0000165	3	3	2	4	12
OG0000166	1	7	2	2	12
OG0000167	5	3	3	1	12
OG0000168	4	2	6	0	12
OG0000169	12	0	0	0	12
OG0000170	2	2	8	0	12
OG0000171	2	6	3	1	12
OG0000172	2	0	10	0	12
OG0000173	3	4	4	1	12
OG0000174	2	7	1	2	12
OG0000175	1	7	3	1	12
OG0000176	0	12	0	0	12
OG0000177	0	12	0	0	12
OG0000178	0	8	1	3	12
OG0000179	0	12	0	0	12
OG0000180	0	12	0	0	12
OG0000181	0	0	12	0	12
OG0000182	0	0	12	0	12
OG0000183	3	7	0	1	11
OG0000184	4	1	4	2	11
OG0000185	5	2	2	2	11
OG0000186	3	4	2	2	11
OG0000187	2	2	4	3	11
OG0000188	3	4	2	2	11
OG0000189	1	4	5	1	11
OG0000190	3	3	2	3	11
OG0000191	2	5	4	0	11
OG0000192	6	2	3	0	11
OG0000193	7	1	3	0	11
OG0000194	11	0	0	0	11
OG0000195	3	3	5	0	11
OG0000196	2	4	3	2	11
OG0000197	2	3	4	2	11
OG0000198	4	3	2	2	11
OG0000199	11	0	0	0	11
OG0000200	1	6	4	0	11
OG0000201	5	4	1	1	11
OG0000202	3	4	4	0	11
OG0000203	1	6	4	0	11
OG0000204	2	8	1	0	11
OG0000205	1	0	9	1	11
OG0000206	5	2	4	0	11
OG0000207	1	2	8	0	11
OG0000208	11	0	0	0	11
OG0000209	0	11	0	0	11
OG0000210	0	11	0	0	11
OG0000211	0	11	0	0	11
OG0000212	0	3	7	1	11
OG0000213	0	11	0	0	11
OG0000214	0	11	0	0	11
OG0000215	0	11	0	0	11
OG0000216	0	11	0	0	11
OG0000217	0	11	0	0	11
OG0000218	0	11	0	0	11
OG0000219	0	0	11	0	11
OG0000220	0	0	11	0	11
OG0000221	1	5	2	2	10
OG0000222	10	0	0	0	10
OG0000223	5	3	0	2	10
OG0000224	4	2	2	2	10
OG0000225	2	7	0	1	10
OG0000226	2	2	4	2	10
OG0000227	1	8	1	0	10
OG0000228	6	2	1	1	10
OG0000229	8	2	0	0	10
OG0000230	2	4	2	2	10
OG0000231	2	3	4	1	10
OG0000232	1	4	4	1	10
OG0000233	2	5	2	1	10
OG0000234	2	2	4	2	10
