Orthogroup	protein_mansoni	sequence_Homo sapiens	Total
OG0000000	111	0	111
OG0000001	52	0	52
OG0000002	33	0	33
OG0000003	32	0	32
OG0000004	28	0	28
OG0000005	25	0	25
OG0000006	23	1	24
OG0000007	22	0	22
OG0000008	22	0	22
OG0000009	22	0	22
OG0000010	21	0	21
OG0000011	21	0	21
OG0000012	18	0	18
OG0000013	18	0	18
OG0000014	18	0	18
OG0000015	18	0	18
OG0000016	17	0	17
OG0000017	17	0	17
OG0000018	16	0	16
OG0000019	16	0	16
OG0000020	14	1	15
OG0000021	15	0	15
OG0000022	15	0	15
OG0000023	14	1	15
OG0000024	15	0	15
OG0000025	4	10	14
OG0000026	13	1	14
OG0000027	14	0	14
OG0000028	14	0	14
OG0000029	14	0	14
OG0000030	13	0	13
OG0000031	12	1	13
OG0000032	13	0	13
OG0000033	13	0	13
OG0000034	13	0	13
OG0000035	13	0	13
OG0000036	12	1	13
OG0000037	13	0	13
OG0000038	12	0	12
OG0000039	12	0	12
OG0000040	12	0	12
OG0000041	12	0	12
OG0000042	2	10	12
OG0000043	11	0	11
OG0000044	10	1	11
OG0000045	11	0	11
OG0000046	8	3	11
OG0000047	11	0	11
OG0000048	11	0	11
OG0000049	11	0	11
OG0000050	11	0	11
OG0000051	11	0	11
OG0000052	11	0	11
OG0000053	10	1	11
OG0000054	11	0	11
OG0000055	11	0	11
OG0000056	1	10	11
OG0000057	11	0	11
OG0000058	10	0	10
OG0000059	10	0	10
OG0000060	10	0	10
OG0000061	10	0	10
OG0000062	9	1	10
OG0000063	10	0	10
OG0000064	10	0	10
OG0000065	9	1	10
OG0000066	7	3	10
OG0000067	10	0	10
OG0000068	10	0	10
OG0000069	10	0	10
OG0000070	10	0	10
OG0000071	8	1	9
OG0000072	9	0	9
OG0000073	9	0	9
OG0000074	9	0	9
OG0000075	9	0	9
OG0000076	9	0	9
OG0000077	8	1	9
OG0000078	9	0	9
OG0000079	9	0	9
OG0000080	9	0	9
OG0000081	9	0	9
OG0000082	9	0	9
OG0000083	7	2	9
OG0000084	7	2	9
OG0000085	9	0	9
OG0000086	9	0	9
OG0000087	9	0	9
OG0000088	0	9	9
OG0000089	5	3	8
OG0000090	6	2	8
OG0000091	8	0	8
OG0000092	8	0	8
OG0000093	8	0	8
OG0000094	7	1	8
OG0000095	8	0	8
OG0000096	8	0	8
OG0000097	8	0	8
OG0000098	8	0	8
OG0000099	8	0	8
OG0000100	5	3	8
OG0000101	8	0	8
OG0000102	8	0	8
OG0000103	7	1	8
OG0000104	4	3	7
OG0000105	1	6	7
OG0000106	7	0	7
OG0000107	7	0	7
OG0000108	7	0	7
OG0000109	5	2	7
OG0000110	7	0	7
OG0000111	7	0	7
OG0000112	7	0	7
OG0000113	7	0	7
OG0000114	7	0	7
OG0000115	3	4	7
OG0000116	7	0	7
OG0000117	7	0	7
OG0000118	7	0	7
OG0000119	7	0	7
