Orthogroup	cog_pos_go	protein_mansoni	Total
OG0000000	337	1	338
OG0000001	330	0	330
OG0000002	321	0	321
OG0000003	316	0	316
OG0000004	316	0	316
OG0000005	302	1	303
OG0000006	291	0	291
OG0000007	280	0	280
OG0000008	278	0	278
OG0000009	273	0	273
OG0000010	270	0	270
OG0000011	259	1	260
OG0000012	252	0	252
OG0000013	236	1	237
OG0000014	233	1	234
OG0000015	230	0	230
OG0000016	213	0	213
OG0000017	212	0	212
OG0000018	212	0	212
OG0000019	205	0	205
OG0000020	203	0	203
OG0000021	202	0	202
OG0000022	192	0	192
OG0000023	184	0	184
OG0000024	183	0	183
OG0000025	183	0	183
OG0000026	182	0	182
OG0000027	180	0	180
OG0000028	174	0	174
OG0000029	174	0	174
OG0000030	172	0	172
OG0000031	170	0	170
OG0000032	164	0	164
OG0000033	164	0	164
OG0000034	156	0	156
OG0000035	155	0	155
OG0000036	150	0	150
OG0000037	146	0	146
OG0000038	141	0	141
OG0000039	140	0	140
OG0000040	137	0	137
OG0000041	134	0	134
OG0000042	133	0	133
OG0000043	130	0	130
OG0000044	129	0	129
OG0000045	125	0	125
OG0000046	125	0	125
OG0000047	124	0	124
OG0000048	121	0	121
OG0000049	120	0	120
OG0000050	120	0	120
OG0000051	120	0	120
OG0000052	120	0	120
OG0000053	118	0	118
OG0000054	117	0	117
OG0000055	117	0	117
OG0000056	116	0	116
OG0000057	116	0	116
OG0000058	115	0	115
OG0000059	115	0	115
OG0000060	115	0	115
OG0000061	114	1	115
OG0000062	115	0	115
OG0000063	114	0	114
OG0000064	114	0	114
OG0000065	113	0	113
OG0000066	0	113	113
OG0000067	112	0	112
OG0000068	112	0	112
OG0000069	111	0	111
OG0000070	111	0	111
OG0000071	111	0	111
OG0000072	111	0	111
OG0000073	111	0	111
OG0000074	110	0	110
OG0000075	110	0	110
OG0000076	110	0	110
OG0000077	110	0	110
OG0000078	108	1	109
OG0000079	109	0	109
OG0000080	109	0	109
OG0000081	107	0	107
OG0000082	107	0	107
OG0000083	107	0	107
OG0000084	107	0	107
OG0000085	107	0	107
OG0000086	106	0	106
OG0000087	106	0	106
OG0000088	105	0	105
OG0000089	105	0	105
OG0000090	104	0	104
OG0000091	104	0	104
OG0000092	104	0	104
OG0000093	103	0	103
OG0000094	102	0	102
OG0000095	102	0	102
OG0000096	101	0	101
OG0000097	101	0	101
OG0000098	101	0	101
OG0000099	100	0	100
OG0000100	100	0	100
OG0000101	100	0	100
OG0000102	99	0	99
OG0000103	99	0	99
OG0000104	99	0	99
OG0000105	99	0	99
OG0000106	98	0	98
OG0000107	98	0	98
OG0000108	98	0	98
OG0000109	98	0	98
OG0000110	97	0	97
OG0000111	97	0	97
OG0000112	97	0	97
OG0000113	96	0	96
OG0000114	96	0	96
OG0000115	96	0	96
OG0000116	96	0	96
OG0000117	96	0	96
OG0000118	95	0	95
OG0000119	95	0	95
OG0000120	95	0	95
OG0000121	94	0	94
OG0000122	94	0	94
OG0000123	94	0	94
OG0000124	93	0	93
OG0000125	93	0	93
OG0000126	93	0	93
OG0000127	93	0	93
OG0000128	0	93	93
OG0000129	92	0	92
OG0000130	92	0	92
OG0000131	92	0	92
OG0000132	91	0	91
OG0000133	90	0	90
OG0000134	90	0	90
OG0000135	90	0	90
OG0000136	89	0	89
OG0000137	88	0	88
OG0000138	88	0	88
OG0000139	88	0	88
OG0000140	88	0	88
OG0000141	87	0	87
OG0000142	86	0	86
OG0000143	85	0	85
OG0000144	85	0	85
OG0000145	85	0	85
OG0000146	85	0	85
OG0000147	84	1	85
OG0000148	85	0	85
OG0000149	84	0	84
OG0000150	83	0	83
OG0000151	82	0	82
OG0000152	82	0	82
OG0000153	82	0	82
OG0000154	81	0	81
OG0000155	80	0	80
OG0000156	80	0	80
OG0000157	79	0	79
OG0000158	79	0	79
OG0000159	78	0	78
OG0000160	78	0	78
OG0000161	77	0	77
OG0000162	77	0	77
OG0000163	77	0	77
OG0000164	77	0	77
OG0000165	76	0	76
OG0000166	76	0	76
OG0000167	76	0	76
OG0000168	76	0	76
OG0000169	76	0	76
OG0000170	75	0	75
OG0000171	75	0	75
OG0000172	75	0	75
OG0000173	74	0	74
OG0000174	74	0	74
OG0000175	73	0	73
OG0000176	73	0	73
OG0000177	72	0	72
OG0000178	71	0	71
OG0000179	70	0	70
OG0000180	70	0	70
OG0000181	70	0	70
OG0000182	70	0	70
OG0000183	69	0	69
OG0000184	69	0	69
OG0000185	68	1	69
OG0000186	69	0	69
OG0000187	68	0	68
OG0000188	68	0	68
OG0000189	68	0	68
OG0000190	68	0	68
OG0000191	67	0	67
OG0000192	67	0	67
OG0000193	67	0	67
OG0000194	66	0	66
OG0000195	66	0	66
OG0000196	65	0	65
OG0000197	65	0	65
OG0000198	64	0	64
OG0000199	64	0	64
OG0000200	64	0	64
OG0000201	64	0	64
OG0000202	63	0	63
OG0000203	63	0	63
OG0000204	62	0	62
OG0000205	62	0	62
OG0000206	62	0	62
OG0000207	62	0	62
OG0000208	62	0	62
OG0000209	61	0	61
OG0000210	61	0	61
OG0000211	61	0	61
OG0000212	61	0	61
OG0000213	60	0	60
OG0000214	60	0	60
OG0000215	59	0	59
OG0000216	59	0	59
OG0000217	59	0	59
OG0000218	58	0	58
OG0000219	58	0	58
OG0000220	58	0	58
OG0000221	57	0	57
OG0000222	57	0	57
OG0000223	57	0	57
OG0000224	57	0	57
OG0000225	56	0	56
OG0000226	56	0	56
OG0000227	56	0	56
OG0000228	55	0	55
OG0000229	54	0	54
OG0000230	54	0	54
OG0000231	53	0	53
OG0000232	53	0	53
OG0000233	53	0	53
OG0000234	53	0	53
OG0000235	53	0	53
OG0000236	53	0	53
OG0000237	0	53	53
OG0000238	52	0	52
OG0000239	52	0	52
OG0000240	52	0	52
OG0000241	0	52	52
OG0000242	51	0	51
OG0000243	51	0	51
OG0000244	50	0	50
OG0000245	49	0	49
OG0000246	49	0	49
OG0000247	0	49	49
OG0000248	48	0	48
OG0000249	48	0	48
OG0000250	48	0	48
OG0000251	48	0	48
OG0000252	48	0	48
OG0000253	48	0	48
OG0000254	48	0	48
OG0000255	0	48	48
OG0000256	47	0	47
OG0000257	47	0	47
OG0000258	46	0	46
OG0000259	46	0	46
OG0000260	46	0	46
OG0000261	46	0	46
OG0000262	46	0	46
OG0000263	0	46	46
OG0000264	45	0	45
OG0000265	45	0	45
OG0000266	45	0	45
OG0000267	45	0	45
OG0000268	0	45	45
OG0000269	43	1	44
OG0000270	44	0	44
OG0000271	44	0	44
OG0000272	44	0	44
OG0000273	44	0	44
OG0000274	43	0	43
OG0000275	43	0	43
OG0000276	43	0	43
OG0000277	43	0	43
OG0000278	43	0	43
OG0000279	43	0	43
OG0000280	43	0	43
OG0000281	43	0	43
OG0000282	42	0	42
OG0000283	42	0	42
OG0000284	42	0	42
OG0000285	0	42	42
OG0000286	41	0	41
OG0000287	41	0	41
OG0000288	41	0	41
OG0000289	41	0	41
OG0000290	41	0	41
OG0000291	41	0	41
OG0000292	41	0	41
OG0000293	0	41	41
OG0000294	40	0	40
OG0000295	40	0	40
OG0000296	39	0	39
OG0000297	39	0	39
OG0000298	39	0	39
OG0000299	39	0	39
OG0000300	39	0	39
OG0000301	39	0	39
OG0000302	39	0	39
OG0000303	0	39	39
OG0000304	38	0	38
OG0000305	38	0	38
OG0000306	38	0	38
OG0000307	38	0	38
OG0000308	38	0	38
OG0000309	38	0	38
OG0000310	38	0	38
OG0000311	38	0	38
OG0000312	38	0	38
OG0000313	37	0	37
OG0000314	37	0	37
OG0000315	37	0	37
OG0000316	37	0	37
OG0000317	37	0	37
OG0000318	37	0	37
OG0000319	37	0	37
OG0000320	37	0	37
OG0000321	36	0	36
OG0000322	36	0	36
OG0000323	36	0	36
OG0000324	36	0	36
OG0000325	36	0	36
OG0000326	36	0	36
OG0000327	36	0	36
OG0000328	36	0	36
OG0000329	36	0	36
OG0000330	36	0	36
OG0000331	36	0	36
OG0000332	36	0	36
OG0000333	35	0	35
OG0000334	35	0	35
OG0000335	35	0	35
OG0000336	35	0	35
OG0000337	35	0	35
OG0000338	35	0	35
OG0000339	35	0	35
OG0000340	35	0	35
OG0000341	35	0	35
OG0000342	34	1	35
OG0000343	35	0	35
OG0000344	35	0	35
OG0000345	35	0	35
OG0000346	35	0	35
OG0000347	35	0	35
OG0000348	35	0	35
OG0000349	35	0	35
OG0000350	35	0	35
OG0000351	35	0	35
OG0000352	34	0	34
OG0000353	34	0	34
OG0000354	34	0	34
OG0000355	34	0	34
OG0000356	34	0	34
OG0000357	34	0	34
OG0000358	34	0	34
