Orthogroup	kog_cerevisiae_pos_go	kog_droso_pos_go	kog_elegans_pos_go	kog_humano_pos_go	protein_mansoni	Total
OG0000000	0	1	0	2	111	114
OG0000001	0	0	0	81	0	81
OG0000002	0	0	0	48	4	52
OG0000003	0	0	0	0	50	50
OG0000004	3	8	6	23	9	49
OG0000005	0	0	49	0	0	49
OG0000006	48	0	0	0	0	48
OG0000007	0	0	46	0	0	46
OG0000008	0	0	44	0	0	44
OG0000009	0	5	10	17	9	41
OG0000010	0	0	36	0	0	36
OG0000011	1	3	15	10	6	35
OG0000012	0	1	3	24	7	35
OG0000013	0	0	0	35	0	35
OG0000014	0	1	17	14	2	34
OG0000015	0	5	4	11	13	33
OG0000016	0	0	33	0	0	33
OG0000017	2	10	16	4	0	32
OG0000018	0	0	32	0	0	32
OG0000019	0	0	0	32	0	32
OG0000020	0	0	0	0	32	32
OG0000021	1	4	6	11	9	31
OG0000022	0	0	29	1	1	31
OG0000023	0	0	31	0	0	31
OG0000024	0	1	0	29	0	30
OG0000025	0	11	10	8	0	29
OG0000026	0	0	29	0	0	29
OG0000027	28	0	0	0	0	28
OG0000028	2	5	4	13	4	28
OG0000029	0	0	0	28	0	28
OG0000030	1	2	1	18	5	27
OG0000031	2	4	5	9	7	27
OG0000032	0	0	5	12	10	27
OG0000033	5	1	6	11	3	26
OG0000034	2	1	9	10	4	26
OG0000035	0	6	4	16	0	26
OG0000036	0	1	5	16	4	26
OG0000037	0	0	26	0	0	26
OG0000038	0	0	26	0	0	26
OG0000039	2	2	7	7	7	25
OG0000040	2	0	7	14	2	25
OG0000041	1	3	1	6	14	25
OG0000042	0	7	9	8	1	25
OG0000043	0	0	22	3	0	25
OG0000044	0	0	0	25	0	25
OG0000045	0	1	0	0	23	24
OG0000046	3	0	9	9	2	23
OG0000047	2	0	8	11	2	23
OG0000048	2	6	2	9	4	23
OG0000049	0	1	18	4	0	23
OG0000050	0	2	4	12	5	23
OG0000051	0	1	16	5	1	23
OG0000052	0	0	23	0	0	23
OG0000053	0	0	23	0	0	23
OG0000054	0	0	1	22	0	23
OG0000055	0	0	22	0	0	22
OG0000056	0	0	22	0	0	22
OG0000057	0	0	0	22	0	22
OG0000058	0	0	0	0	22	22
OG0000059	0	0	0	0	22	22
OG0000060	2	4	6	6	3	21
OG0000061	1	3	8	7	2	21
OG0000062	2	1	5	9	4	21
OG0000063	0	1	18	1	1	21
OG0000064	0	2	3	15	1	21
OG0000065	0	0	0	20	1	21
OG0000066	0	0	0	0	21	21
OG0000067	1	2	8	5	4	20
OG0000068	2	3	4	7	4	20
OG0000069	3	1	5	10	1	20
OG0000070	1	1	16	1	1	20
OG0000071	6	1	4	7	2	20
OG0000072	1	6	1	7	5	20
OG0000073	0	0	20	0	0	20
OG0000074	0	0	0	0	20	20
OG0000075	2	15	0	2	0	19
OG0000076	1	2	3	3	10	19
OG0000077	1	2	8	3	5	19
OG0000078	3	1	5	8	2	19
OG0000079	1	1	1	7	9	19
OG0000080	0	1	1	12	5	19
OG0000081	0	1	3	10	5	19
OG0000082	0	0	18	0	1	19
OG0000083	1	0	5	3	9	18
OG0000084	18	0	0	0	0	18
OG0000085	2	0	2	9	5	18
OG0000086	1	4	8	3	2	18
OG0000087	3	1	6	7	1	18
OG0000088	1	5	0	8	4	18
OG0000089	1	0	17	0	0	18
OG0000090	0	18	0	0	0	18
OG0000091	0	0	3	15	0	18
OG0000092	0	0	2	15	1	18
OG0000093	0	0	1	14	3	18
OG0000094	0	0	1	14	3	18
OG0000095	0	0	1	17	0	18
OG0000096	0	0	0	1	17	18
OG0000097	0	0	0	0	18	18
OG0000098	0	0	0	0	18	18
OG0000099	17	0	0	0	0	17
OG0000100	3	2	7	3	2	17
OG0000101	1	1	5	5	5	17
OG0000102	2	0	2	9	4	17
OG0000103	2	0	6	6	3	17
OG0000104	1	1	1	5	9	17
OG0000105	0	1	1	9	6	17
OG0000106	0	1	1	4	11	17
OG0000107	0	6	8	2	1	17
OG0000108	0	0	1	15	1	17
OG0000109	0	0	3	14	0	17
OG0000110	0	0	17	0	0	17
OG0000111	0	0	17	0	0	17
OG0000112	0	0	0	0	17	17
OG0000113	3	3	2	7	1	16
OG0000114	1	1	1	8	5	16
OG0000115	2	1	2	7	4	16
OG0000116	1	0	4	3	8	16
OG0000117	2	3	3	4	4	16
OG0000118	1	2	4	8	1	16
OG0000119	0	1	1	12	2	16
OG0000120	0	1	2	10	3	16
OG0000121	0	2	1	13	0	16
OG0000122	0	2	2	11	1	16
OG0000123	0	1	3	10	2	16
OG0000124	0	1	1	13	1	16
OG0000125	0	0	0	9	7	16
OG0000126	0	0	0	16	0	16
OG0000127	2	2	1	5	5	15
OG0000128	3	1	1	5	5	15
OG0000129	3	2	2	5	3	15
OG0000130	2	1	3	7	2	15
OG0000131	3	1	5	5	1	15
OG0000132	3	2	1	6	3	15
OG0000133	2	1	1	7	4	15
OG0000134	1	2	1	8	3	15
OG0000135	0	2	1	9	3	15
