Orthogroup	cel_kog_final	dme_costa_final	kog_cel_final	kog_dme_final	kog_sce_final	kog_total_final	sce_costa_final	total_costa_final	Total
OG0000000	101	0	101	18	1	1	1	0	223
OG0000001	50	0	50	1	8	8	0	0	117
OG0000002	53	0	53	0	0	0	0	0	106
OG0000003	53	0	53	0	0	0	0	0	106
OG0000004	52	0	52	0	0	0	0	0	104
OG0000005	52	0	52	0	0	0	0	0	104
OG0000006	52	0	52	0	0	0	0	0	104
OG0000007	26	0	26	0	25	0	1	0	78
OG0000008	33	0	33	0	0	0	0	0	66
OG0000009	25	0	25	1	10	0	0	0	61
OG0000010	26	0	26	0	1	2	0	0	55
OG0000011	27	0	27	1	0	0	0	0	55
OG0000012	25	0	25	1	1	1	0	0	53
OG0000013	0	0	0	53	0	0	0	0	53
OG0000014	25	0	25	0	2	0	0	0	52
OG0000015	25	0	25	0	1	0	1	0	52
OG0000016	25	0	25	0	0	0	0	0	50
OG0000017	23	0	23	0	1	0	0	0	47
OG0000018	23	0	23	0	0	0	0	0	46
OG0000019	0	39	0	0	0	0	0	0	39
OG0000020	0	39	0	0	0	0	0	0	39
OG0000021	18	0	18	1	0	0	0	0	37
OG0000022	18	0	18	0	0	0	0	0	36
OG0000023	17	0	17	1	0	0	0	0	35
OG0000024	17	0	17	1	0	0	0	0	35
OG0000025	0	0	0	1	33	0	1	0	35
OG0000026	2	0	2	0	2	2	26	0	34
OG0000027	1	0	1	0	0	1	31	0	34
OG0000028	0	32	0	0	0	0	0	0	32
OG0000029	0	0	0	0	0	0	31	0	31
OG0000030	1	0	1	0	26	0	1	0	29
OG0000031	14	0	14	1	0	0	0	0	29
OG0000032	14	0	14	0	0	0	0	0	28
OG0000033	1	0	1	0	25	0	1	0	28
OG0000034	0	0	0	0	1	1	25	0	27
OG0000035	0	25	0	0	0	1	0	0	26
OG0000036	25	0	0	0	0	0	0	0	25
OG0000037	25	0	0	0	0	0	0	0	25
OG0000038	25	0	0	0	0	0	0	0	25
OG0000039	25	0	0	0	0	0	0	0	25
OG0000040	25	0	0	0	0	0	0	0	25
OG0000041	25	0	0	0	0	0	0	0	25
OG0000042	25	0	0	0	0	0	0	0	25
OG0000043	25	0	0	0	0	0	0	0	25
OG0000044	25	0	0	0	0	0	0	0	25
OG0000045	25	0	0	0	0	0	0	0	25
OG0000046	25	0	0	0	0	0	0	0	25
OG0000047	25	0	0	0	0	0	0	0	25
