Orthogroup	cel_kog_final	dme_costa_final	kog_cel_final	kog_dme_final	kog_sce_final	kog_total_final	sce_costa_final	total_costa_final
OG0000000	NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492513.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2		NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492512.1, NP_492513.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507059.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507393.1, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2, NP_507574.2	NP_477390.1, NP_477390.1, NP_477390.1, NP_477390.1, NP_477390.1, NP_477390.1, NP_610729.1, NP_610729.1, NP_610729.1, NP_610729.1, NP_610729.1, NP_610729.1, NP_611796.1, NP_611796.1, NP_611796.1, NP_611796.1, NP_611796.1, NP_611796.1	NP_010615.3	NP_010615.3	DEG20010226	
OG0000001	NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1		NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_504008.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1, NP_508413.1	NP_477054.1	NP_011599.1, NP_011599.1, NP_011599.1, NP_011599.1, NP_015427.1, NP_015427.1, NP_015427.1, NP_015427.1	NP_011599.1, NP_011599.1, NP_011599.1, NP_011599.1, NP_015427.1, NP_015427.1, NP_015427.1, NP_015427.1		
OG0000002	NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1		NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1, NP_508054.1					
OG0000003	NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1		NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1, NP_491892.1					
OG0000004	NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4		NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4, NP_510193.4					
OG0000005	NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1		NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1, NP_510192.1					
OG0000006	NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1		NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1, NP_507857.1					
OG0000007	NP_492642.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1		NP_492642.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1, NP_505463.1		NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_009552.1, NP_010511.3, NP_010511.3		DEG20010013	
OG0000008	NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1		NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1, NP_493866.1					
OG0000009	NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1		NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1, NP_492960.1	NP_477449.1	NP_010411.1, NP_010411.1, NP_010411.1, NP_010411.1, NP_010411.1, NP_014073.1, NP_014073.1, NP_014073.1, NP_014073.1, NP_014073.1			
