Orthogroup	Total	protein_mansoni	resultado_dme
OG0000000	115	6183.Smp_001085.1, 6183.Smp_004230.1, 6183.Smp_004530.1, 6183.Smp_004540.1, 6183.Smp_015160.1, 6183.Smp_061930.1, 6183.Smp_071210.1, 6183.Smp_072440.1, 6183.Smp_072670.1, 6183.Smp_079720.1, 6183.Smp_081030.1, 6183.Smp_082460.1, 6183.Smp_082500.1, 6183.Smp_091070.1, 6183.Smp_095200.1, 6183.Smp_097670.1, 6183.Smp_097680.1, 6183.Smp_100790.1, 6183.Smp_114740.1, 6183.Smp_122190.1, 6183.Smp_122320.1, 6183.Smp_123400.1, 6183.Smp_123720.1, 6183.Smp_124560.1, 6183.Smp_125830.1, 6183.Smp_126570.1, 6183.Smp_127260.1, 6183.Smp_130150.1, 6183.Smp_130720.1, 6183.Smp_131750.1, 6183.Smp_131920.1, 6183.Smp_132110.1, 6183.Smp_132360.1, 6183.Smp_132960.1, 6183.Smp_133870.1, 6183.Smp_136090.1, 6183.Smp_137290.1, 6183.Smp_138650.1, 6183.Smp_138820.1, 6183.Smp_139340.1, 6183.Smp_139730.1, 6183.Smp_139870.1, 6183.Smp_140280.1, 6183.Smp_141870.1, 6183.Smp_144150.1, 6183.Smp_145340.1, 6183.Smp_147130.1, 6183.Smp_149190.1, 6183.Smp_150000.1, 6183.Smp_151170.1, 6183.Smp_154310.1, 6183.Smp_155660.1, 6183.Smp_155710.1, 6183.Smp_155830.1, 6183.Smp_157030.1, 6183.Smp_159500.1, 6183.Smp_159610.1, 6183.Smp_160720.1, 6183.Smp_160980.1, 6183.Smp_160990.1, 6183.Smp_161690.1, 6183.Smp_162950.1, 6183.Smp_163370.1, 6183.Smp_163390.1, 6183.Smp_164870.1, 6183.Smp_165450.1, 6183.Smp_166600.1, 6183.Smp_166810.1, 6183.Smp_166950.1, 6183.Smp_167560.1, 6183.Smp_167720.1, 6183.Smp_168030.1, 6183.Smp_169810.1, 6183.Smp_170000.1, 6183.Smp_170190.1, 6183.Smp_172230.1, 6183.Smp_173140.1, 6183.Smp_173310.1, 6183.Smp_173950.1, 6183.Smp_174330.1, 6183.Smp_174460.1, 6183.Smp_174560.1, 6183.Smp_174600.1, 6183.Smp_175080.1, 6183.Smp_175880.1, 6183.Smp_177070.1, 6183.Smp_177750.1, 6183.Smp_179530.1, 6183.Smp_179640.1, 6183.Smp_180770.1, 6183.Smp_183420.1, 6183.Smp_184420.1, 6183.Smp_184840.1, 6183.Smp_185870.1, 6183.Smp_185890.1, 6183.Smp_186170.1, 6183.Smp_189170.1, 6183.Smp_189480.1, 6183.Smp_189980.1, 6183.Smp_190300.1, 6183.Smp_190540.1, 6183.Smp_190710.1, 6183.Smp_190760.1, 6183.Smp_192010.1, 6183.Smp_192230.1, 6183.Smp_192880.1, 6183.Smp_193940.1, 6183.Smp_193950.1, 6183.Smp_194440.1, 6183.Smp_198040.1, 6183.Smp_199970.1, 6183.Smp_212070.1	AAF49789.1, AAF50784.1, Q9VHT4.1
OG0000001	109	6183.Smp_030350.1, 6183.Smp_103680.1	AAF45633.2, AAF46104.2, AAF46105.1, AAF46764.2, AAF46770.2, AAF46901.3, AAF46936.2, AAF46937.2, AAF47203.3, AAF47281.1, AAF47737.2, AAF47738.2, AAF47739.2, AAF47836.2, AAF48647.1, AAF48648.2, AAF48649.1, AAF48650.1, AAF49135.1, AAF49207.3, AAF49225.1, AAF49484.2, AAF49721.2, AAF49736.2, AAF50307.2, AAF50540.2, AAF50541.2, AAF50842.1, AAF50871.1, AAF50872.1, AAF50993.1, AAF51194.2, AAF51195.1, AAF51273.1, AAF51274.1, AAF51278.1, AAF51279.1, AAF51280.1, AAF51304.2, AAF51508.1, AAF51660.1, AAF51662.2, AAF51663.1, AAF52738.1, AAF53170.2, AAF53273.4, AAF53615.2, AAF54286.2, AAF54345.2, AAF54356.1, AAF54357.1, AAF54763.3, AAF54764.2, AAF54765.1, AAF54779.2, AAF55317.2, AAF55391.2, AAF55392.2, AAF55393.1, AAF55394.2, AAF55395.1, AAF55396.1, AAF55527.1, AAF56393.1, AAF56577.3, AAF56771.1, AAF56811.1, AAF56813.1, AAF56947.1, AAF57320.2, AAF57469.2, AAF57967.1, AAF58092.1, AAF58377.1, AAF58657.2, AAF58658.2, AAF59005.1, AAF59006.2, AAF59008.1, AAF59107.2, AAF59111.1, NP_476709.1, NP_476771.1, NP_523691.1, NP_523692.1, NP_523693.1, NP_523695.1, NP_523919.1, NP_525112.1, NP_569865.1, NP_569939.2, NP_573151.1, NP_608517.1, NP_608662.1, NP_609374.1, NP_609550.1, NP_609640.1, NP_609708.2, NP_609840.1, NP_610109.1, NP_610402.1, NP_610403.1, NP_610435.4, NP_610441.2, NP_610673.1, NP_610674.5, NP_611490.1
OG0000004	39	6183.Smp_156400.1	AAB71165.1, AAF45736.1, AAF48136.3, AAF50550.3, AAF50766.3, AAF52233.4, AAF52234.2, AAF54768.2, AAF54769.4, AAF54770.3, AAF54850.4, AAF55065.2, AAF58961.2, NP_523527.1, NP_524598.1, NP_524771.1, NP_524828.1, NP_525031.1, NP_525043.1, NP_525044.1, NP_572721.1, NP_572780.3, NP_573319.1, NP_608916.1, NP_610380.1, O46051.1, Q27606.2, Q95078.2, Q9V7G5.2, Q9VGH1.1, Q9VHP4.2, Q9VLZ7.1, Q9VS79.2, Q9VVN6.1, Q9VW43.1, Q9VXY0.1, Q9W011.1, XP_079988.1
OG0000012	25	6183.Smp_001890.1, 6183.Smp_002060.1, 6183.Smp_002070.1, 6183.Smp_002630.1, 6183.Smp_070240.1, 6183.Smp_070250.1, 6183.Smp_078490.1, 6183.Smp_120670.1, 6183.Smp_123090.1, 6183.Smp_123540.1, 6183.Smp_123550.1, 6183.Smp_127130.1, 6183.Smp_139450.1, 6183.Smp_154260.1, 6183.Smp_154290.1, 6183.Smp_159280.1, 6183.Smp_159290.1, 6183.Smp_176160.1, 6183.Smp_176170.1, 6183.Smp_176180.1, 6183.Smp_179480.1, 6183.Smp_193680.1, 6183.Smp_199890.1, 6183.Smp_210620.1	AAF54913.2
OG0000016	22	6183.Smp_002470.1, 6183.Smp_026200.1, 6183.Smp_026790.1, 6183.Smp_026860.1, 6183.Smp_032780.1, 6183.Smp_048030.1, 6183.Smp_063550.1, 6183.Smp_088610.1, 6183.Smp_096830.1, 6183.Smp_101840.1, 6183.Smp_109240.1, 6183.Smp_114130.1, 6183.Smp_114870.1, 6183.Smp_120020.1, 6183.Smp_125000.1, 6183.Smp_138800.1, 6183.Smp_139590.1, 6183.Smp_174250.1, 6183.Smp_175190.1, 6183.Smp_178400.1, 6183.Smp_197170.1	AAF52633.1
OG0000020	20	6183.Smp_068280.1	AAF49251.3, AAF49252.1, AAF49253.3, AAF49254.3, AAF49255.4, AAF49256.3, AAF52410.1, AAF54203.1, AAF56834.5, AAF57053.2, AAF57054.1, AAF57057.1, AAF57058.1, AAF57059.2, AAF57060.2, AAF57061.2, AAF57062.2, AAF57071.5, AAF57073.4
OG0000021	20	6183.Smp_144130.1	AAF45880.2, AAF46838.2, AAF48788.2, AAF50779.2, AAF50780.1, AAF50811.1, AAF50812.2, AAF51754.3, AAF52273.4, AAF52275.1, AAF52409.1, AAF52743.3, AAF52744.3, AAF56071.1, AAF56750.1, AAF56835.1, AAF58506.1, NP_476579.1, NP_611666.2
OG0000024	18	6183.Smp_010770.1	AAF49430.2, AAF50101.2, AAF52122.3, AAF54172.2, AAF54460.1, AAF54461.1, AAF54462.1, AAF54463.2, AAF54464.1, AAF56015.1, AAF56018.1, AAF56019.1, AAF56020.2, AAF56021.1, AAF56072.1, AAF57647.2, NP_611366.2
OG0000025	18	6183.Smp_080210.1, 6183.Smp_165340.1	AAF45762.1, AAF46152.1, AAF47455.1, AAF47890.1, AAF47891.1, AAF49914.2, AAF52032.1, AAF53485.3, AAF55994.1, AAF56166.2, AAF56167.1, AAF57178.1, AAF58912.1, NP_523939.1, NP_610507.1, T13428
OG0000026	18	6183.Smp_088270.1	AAF46080.2, AAF46081.2, AAF46083.2, AAF50548.1, AAF50560.2, AAF50561.2, AAF50562.1, AAF50563.3, AAF50565.1, AAF50637.2, AAF52538.2, AAF52809.1, AAF52810.1, AAF56130.2, AAF59162.2, NP_609132.1, NP_610819.1
