Orthogroup	Total	kog_elegans_pos_go	protein_mansoni
OG0000000	112	NP_493578.1, NP_497893.1	6183.Smp_001085.1, 6183.Smp_004230.1, 6183.Smp_004530.1, 6183.Smp_004540.1, 6183.Smp_015160.1, 6183.Smp_061930.1, 6183.Smp_071210.1, 6183.Smp_072440.1, 6183.Smp_072670.1, 6183.Smp_079720.1, 6183.Smp_081030.1, 6183.Smp_082460.1, 6183.Smp_082500.1, 6183.Smp_091070.1, 6183.Smp_095200.1, 6183.Smp_097670.1, 6183.Smp_097680.1, 6183.Smp_100790.1, 6183.Smp_114740.1, 6183.Smp_122190.1, 6183.Smp_122320.1, 6183.Smp_123400.1, 6183.Smp_123720.1, 6183.Smp_124560.1, 6183.Smp_125830.1, 6183.Smp_126570.1, 6183.Smp_127260.1, 6183.Smp_130150.1, 6183.Smp_130720.1, 6183.Smp_131750.1, 6183.Smp_131920.1, 6183.Smp_132110.1, 6183.Smp_132360.1, 6183.Smp_132960.1, 6183.Smp_133870.1, 6183.Smp_136090.1, 6183.Smp_137290.1, 6183.Smp_138650.1, 6183.Smp_138820.1, 6183.Smp_139730.1, 6183.Smp_139870.1, 6183.Smp_140280.1, 6183.Smp_141870.1, 6183.Smp_144150.1, 6183.Smp_145340.1, 6183.Smp_147130.1, 6183.Smp_149190.1, 6183.Smp_150000.1, 6183.Smp_151170.1, 6183.Smp_154310.1, 6183.Smp_155660.1, 6183.Smp_155710.1, 6183.Smp_155830.1, 6183.Smp_157030.1, 6183.Smp_159500.1, 6183.Smp_159610.1, 6183.Smp_160720.1, 6183.Smp_160980.1, 6183.Smp_160990.1, 6183.Smp_161690.1, 6183.Smp_162950.1, 6183.Smp_163370.1, 6183.Smp_163390.1, 6183.Smp_164870.1, 6183.Smp_165450.1, 6183.Smp_166600.1, 6183.Smp_166810.1, 6183.Smp_166950.1, 6183.Smp_167560.1, 6183.Smp_167720.1, 6183.Smp_169810.1, 6183.Smp_170000.1, 6183.Smp_170190.1, 6183.Smp_172230.1, 6183.Smp_173140.1, 6183.Smp_173310.1, 6183.Smp_173950.1, 6183.Smp_174330.1, 6183.Smp_174460.1, 6183.Smp_174560.1, 6183.Smp_174600.1, 6183.Smp_175080.1, 6183.Smp_175880.1, 6183.Smp_177070.1, 6183.Smp_177750.1, 6183.Smp_179530.1, 6183.Smp_179640.1, 6183.Smp_180770.1, 6183.Smp_183420.1, 6183.Smp_184420.1, 6183.Smp_184840.1, 6183.Smp_185870.1, 6183.Smp_185890.1, 6183.Smp_186170.1, 6183.Smp_189170.1, 6183.Smp_189480.1, 6183.Smp_189980.1, 6183.Smp_190300.1, 6183.Smp_190540.1, 6183.Smp_190710.1, 6183.Smp_190760.1, 6183.Smp_192010.1, 6183.Smp_192230.1, 6183.Smp_192880.1, 6183.Smp_193940.1, 6183.Smp_193950.1, 6183.Smp_194440.1, 6183.Smp_198040.1, 6183.Smp_199970.1, 6183.Smp_212070.1
OG0000005	42	NP_496339.1, NP_506256.3	6183.Smp_011430.1, 6183.Smp_013630.1, 6183.Smp_016230.1, 6183.Smp_069720.1, 6183.Smp_083220.1, 6183.Smp_124580.1, 6183.Smp_126050.1, 6183.Smp_129530.1, 6183.Smp_131010.1, 6183.Smp_132320.1, 6183.Smp_135610.1, 6183.Smp_135630.1, 6183.Smp_135640.1, 6183.Smp_135730.1, 6183.Smp_141740.1, 6183.Smp_148300.1, 6183.Smp_149010.1, 6183.Smp_149120.1, 6183.Smp_149140.1, 6183.Smp_149330.1, 6183.Smp_151620.1, 6183.Smp_151630.1, 6183.Smp_155600.1, 6183.Smp_155810.1, 6183.Smp_156970.1, 6183.Smp_158870.1, 6183.Smp_159920.1, 6183.Smp_161520.1, 6183.Smp_162520.1, 6183.Smp_162550.1, 6183.Smp_166440.1, 6183.Smp_167460.1, 6183.Smp_167470.1, 6183.Smp_176390.1, 6183.Smp_176470.1, 6183.Smp_176540.1, 6183.Smp_179750.1, 6183.Smp_193230.1, 6183.Smp_196240.1, 6183.Smp_199910.1
OG0000008	33	NP_497804.2	6183.Smp_005710.1, 6183.Smp_086630.1, 6183.Smp_093070.1, 6183.Smp_102020.2, 6183.Smp_103640.1, 6183.Smp_113750.1, 6183.Smp_133400.1, 6183.Smp_154460.1, 6183.Smp_154590.1, 6183.Smp_155170.1, 6183.Smp_165590.1, 6183.Smp_165600.1, 6183.Smp_166470.1, 6183.Smp_173350.2, 6183.Smp_175670.1, 6183.Smp_179390.1, 6183.Smp_179420.1, 6183.Smp_179970.1, 6183.Smp_191400.1, 6183.Smp_192050.1, 6183.Smp_193380.1, 6183.Smp_194130.1, 6183.Smp_201330.1, 6183.Smp_202320.1, 6183.Smp_202420.1, 6183.Smp_202700.1, 6183.Smp_202840.1, 6183.Smp_202850.1, 6183.Smp_204710.1, 6183.Smp_204830.1, 6183.Smp_204840.1, 6183.Smp_205310.1
OG0000014	27	NP_494902.1, NP_495967.1, NP_496858.1, NP_496859.1, NP_496860.1, NP_496861.1, NP_496862.1, NP_496863.1, NP_496864.1, NP_496866.1, NP_497115.1, NP_497116.1, NP_497117.1, NP_497118.1, NP_497119.1, NP_497121.1, NP_497123.2, NP_499981.1, NP_501846.1, NP_501847.1, NP_501848.1, NP_503532.1, NP_503968.1, NP_506983.1, NP_507095.1, NP_508625.1	6183.Smp_054160.1
OG0000015	26	NP_494195.3, NP_494196.2, NP_494197.1, NP_494198.3, NP_494199.1, NP_494229.2, NP_494230.1, NP_494231.1, NP_494290.2, NP_494291.1, NP_494318.2, NP_494319.2, NP_494320.2, NP_494473.2, NP_494474.2, NP_494476.2, NP_494479.2, NP_494481.2, NP_494482.1, NP_494483.2, NP_494485.2, NP_499312.2, NP_507324.1, NP_508239.2, NP_508383.1	6183.Smp_194580.1
OG0000020	22	NP_491223.1, NP_494227.1, NP_494232.2, NP_494234.1, NP_494237.2, NP_494238.2, NP_494240.1, NP_494241.2, NP_494242.1, NP_494243.2, NP_494244.2, NP_494245.1, NP_494271.1, NP_496089.3, NP_496523.1, NP_496525.2, NP_497677.1, NP_500811.1, NP_501814.2, NP_505251.2, NP_507996.1	6183.Smp_136240.6
OG0000029	20	NP_497031.1, NP_501154.1, NP_501156.1, NP_502263.1, NP_503143.1, NP_503222.1, NP_503224.2, NP_503751.1, NP_503752.1, NP_503753.1, NP_503754.1, NP_505704.1, NP_505742.1, NP_505755.1, NP_506820.1, NP_506855.2, NP_507157.1, NP_510229.1	6183.Smp_042680.1, 6183.Smp_212250.1
OG0000031	20	NP_493774.2, NP_496008.1, NP_496010.2, NP_496119.1, NP_496120.1, NP_496567.2, NP_496568.1, NP_496661.1, NP_496881.1, NP_496882.1, NP_496883.2, NP_499629.2, NP_499816.2, NP_503916.1, NP_503917.1, NP_503955.1, NP_508830.3, NP_510328.2, NP_510338.1	6183.Smp_212240.1
OG0000033	18	NP_491071.1, NP_491275.3, NP_491276.1, NP_491277.1, NP_491278.1, NP_491722.2, NP_491758.1, NP_491761.3, NP_492194.1, NP_494193.1, NP_499934.1, NP_500718.1, NP_500756.1, NP_500775.1, NP_501293.3, NP_501766.1, NP_502058.3	6183.Smp_139930.1
OG0000043	15	NP_492504.1, NP_493022.1, NP_493023.1, NP_493029.1, NP_495483.1, NP_497959.1, NP_499818.1, NP_502291.1, NP_502757.2, NP_506360.1, NP_508674.1	6183.Smp_000240.1, 6183.Smp_007630.1, 6183.Smp_078520.1, 6183.Smp_098890.2
