Orthogroup	protein_mansoni	resultado_dme
OG0000000	6183.Smp_001085.1, 6183.Smp_004230.1, 6183.Smp_004530.1, 6183.Smp_004540.1, 6183.Smp_015160.1, 6183.Smp_061930.1, 6183.Smp_071210.1, 6183.Smp_072440.1, 6183.Smp_072670.1, 6183.Smp_079720.1, 6183.Smp_081030.1, 6183.Smp_082460.1, 6183.Smp_082500.1, 6183.Smp_091070.1, 6183.Smp_095200.1, 6183.Smp_097670.1, 6183.Smp_097680.1, 6183.Smp_100790.1, 6183.Smp_114740.1, 6183.Smp_122190.1, 6183.Smp_122320.1, 6183.Smp_123400.1, 6183.Smp_123720.1, 6183.Smp_124560.1, 6183.Smp_125830.1, 6183.Smp_126570.1, 6183.Smp_127260.1, 6183.Smp_130150.1, 6183.Smp_130720.1, 6183.Smp_131750.1, 6183.Smp_131920.1, 6183.Smp_132110.1, 6183.Smp_132360.1, 6183.Smp_132960.1, 6183.Smp_133870.1, 6183.Smp_136090.1, 6183.Smp_137290.1, 6183.Smp_138650.1, 6183.Smp_138820.1, 6183.Smp_139340.1, 6183.Smp_139730.1, 6183.Smp_139870.1, 6183.Smp_140280.1, 6183.Smp_141870.1, 6183.Smp_144150.1, 6183.Smp_145340.1, 6183.Smp_147130.1, 6183.Smp_149190.1, 6183.Smp_150000.1, 6183.Smp_151170.1, 6183.Smp_154310.1, 6183.Smp_155660.1, 6183.Smp_155710.1, 6183.Smp_155830.1, 6183.Smp_157030.1, 6183.Smp_159500.1, 6183.Smp_159610.1, 6183.Smp_160720.1, 6183.Smp_160980.1, 6183.Smp_160990.1, 6183.Smp_161690.1, 6183.Smp_162950.1, 6183.Smp_163370.1, 6183.Smp_163390.1, 6183.Smp_164870.1, 6183.Smp_165450.1, 6183.Smp_166600.1, 6183.Smp_166810.1, 6183.Smp_166950.1, 6183.Smp_167560.1, 6183.Smp_167720.1, 6183.Smp_168030.1, 6183.Smp_169810.1, 6183.Smp_170000.1, 6183.Smp_170190.1, 6183.Smp_172230.1, 6183.Smp_173140.1, 6183.Smp_173310.1, 6183.Smp_173950.1, 6183.Smp_174330.1, 6183.Smp_174460.1, 6183.Smp_174560.1, 6183.Smp_174600.1, 6183.Smp_175080.1, 6183.Smp_175880.1, 6183.Smp_177070.1, 6183.Smp_177750.1, 6183.Smp_179530.1, 6183.Smp_179640.1, 6183.Smp_180770.1, 6183.Smp_183420.1, 6183.Smp_184420.1, 6183.Smp_184840.1, 6183.Smp_185870.1, 6183.Smp_185890.1, 6183.Smp_186170.1, 6183.Smp_189170.1, 6183.Smp_189480.1, 6183.Smp_189980.1, 6183.Smp_190300.1, 6183.Smp_190540.1, 6183.Smp_190710.1, 6183.Smp_190760.1, 6183.Smp_192010.1, 6183.Smp_192230.1, 6183.Smp_192880.1, 6183.Smp_193940.1, 6183.Smp_193950.1, 6183.Smp_194440.1, 6183.Smp_198040.1, 6183.Smp_199970.1, 6183.Smp_212070.1	AAF49789.1, AAF50784.1, Q9VHT4.1
OG0000001	6183.Smp_030350.1, 6183.Smp_103680.1	AAF45633.2, AAF46104.2, AAF46105.1, AAF46764.2, AAF46770.2, AAF46901.3, AAF46936.2, AAF46937.2, AAF47203.3, AAF47281.1, AAF47737.2, AAF47738.2, AAF47739.2, AAF47836.2, AAF48647.1, AAF48648.2, AAF48649.1, AAF48650.1, AAF49135.1, AAF49207.3, AAF49225.1, AAF49484.2, AAF49721.2, AAF49736.2, AAF50307.2, AAF50540.2, AAF50541.2, AAF50842.1, AAF50871.1, AAF50872.1, AAF50993.1, AAF51194.2, AAF51195.1, AAF51273.1, AAF51274.1, AAF51278.1, AAF51279.1, AAF51280.1, AAF51304.2, AAF51508.1, AAF51660.1, AAF51662.2, AAF51663.1, AAF52738.1, AAF53170.2, AAF53273.4, AAF53615.2, AAF54286.2, AAF54345.2, AAF54356.1, AAF54357.1, AAF54763.3, AAF54764.2, AAF54765.1, AAF54779.2, AAF55317.2, AAF55391.2, AAF55392.2, AAF55393.1, AAF55394.2, AAF55395.1, AAF55396.1, AAF55527.1, AAF56393.1, AAF56577.3, AAF56771.1, AAF56811.1, AAF56813.1, AAF56947.1, AAF57320.2, AAF57469.2, AAF57967.1, AAF58092.1, AAF58377.1, AAF58657.2, AAF58658.2, AAF59005.1, AAF59006.2, AAF59008.1, AAF59107.2, AAF59111.1, NP_476709.1, NP_476771.1, NP_523691.1, NP_523692.1, NP_523693.1, NP_523695.1, NP_523919.1, NP_525112.1, NP_569865.1, NP_569939.2, NP_573151.1, NP_608517.1, NP_608662.1, NP_609374.1, NP_609550.1, NP_609640.1, NP_609708.2, NP_609840.1, NP_610109.1, NP_610402.1, NP_610403.1, NP_610435.4, NP_610441.2, NP_610673.1, NP_610674.5, NP_611490.1
OG0000002	6183.Smp_107070.1, 6183.Smp_107330.1, 6183.Smp_107450.1, 6183.Smp_107470.1, 6183.Smp_107640.1, 6183.Smp_107650.1, 6183.Smp_108360.1, 6183.Smp_108730.1, 6183.Smp_109040.1, 6183.Smp_110790.1, 6183.Smp_111090.1, 6183.Smp_111100.1, 6183.Smp_111890.1, 6183.Smp_111950.1, 6183.Smp_111960.1, 6183.Smp_112120.1, 6183.Smp_112170.1, 6183.Smp_112640.1, 6183.Smp_114810.1, 6183.Smp_116920.1, 6183.Smp_117130.1, 6183.Smp_117160.1, 6183.Smp_117270.1, 6183.Smp_117280.1, 6183.Smp_117520.1, 6183.Smp_117550.1, 6183.Smp_182030.1, 6183.Smp_182280.1, 6183.Smp_183180.1, 6183.Smp_183230.1, 6183.Smp_183240.1, 6183.Smp_183840.1, 6183.Smp_184590.1, 6183.Smp_184620.1, 6183.Smp_184630.1, 6183.Smp_184640.1, 6183.Smp_184720.1, 6183.Smp_184800.1, 6183.Smp_184870.1, 6183.Smp_184890.1, 6183.Smp_185070.1, 6183.Smp_185300.1, 6183.Smp_185390.1, 6183.Smp_185520.1, 6183.Smp_185710.1, 6183.Smp_186350.1, 6183.Smp_187080.1, 6183.Smp_190360.1, 6183.Smp_193510.1, 6183.Smp_193520.1	
OG0000003		AAF48876.2, AAF51242.3, AAF51243.4, AAF52274.2, AAF54800.1, AAF54876.1, AAF57417.2, AAF58185.2, AAF58187.2, AAF58188.2, AAF58189.2, AAF59077.1, AAF59078.3, NP_523628.1, NP_523645.1, NP_523646.1, NP_523850.1, NP_608403.1, NP_608457.1, NP_608911.1, NP_608912.1, NP_609694.1, NP_609891.1, NP_610206.1, NP_610390.1, NP_611004.1, NP_611698.1, Q9V399.1, Q9V674.1, Q9V675.1, Q9V676.1, Q9V6H1.1, Q9V769.1, Q9V770.1, Q9V774.1, Q9VB31.1, Q9VFP1.1, Q9VG82.1, Q9VYT8.1, XP_081268.1
OG0000004	6183.Smp_156400.1	AAB71165.1, AAF45736.1, AAF48136.3, AAF50550.3, AAF50766.3, AAF52233.4, AAF52234.2, AAF54768.2, AAF54769.4, AAF54770.3, AAF54850.4, AAF55065.2, AAF58961.2, NP_523527.1, NP_524598.1, NP_524771.1, NP_524828.1, NP_525031.1, NP_525043.1, NP_525044.1, NP_572721.1, NP_572780.3, NP_573319.1, NP_608916.1, NP_610380.1, O46051.1, Q27606.2, Q95078.2, Q9V7G5.2, Q9VGH1.1, Q9VHP4.2, Q9VLZ7.1, Q9VS79.2, Q9VVN6.1, Q9VW43.1, Q9VXY0.1, Q9W011.1, XP_079988.1
OG0000005		AAF46697.2, AAF46698.3, AAF46872.3, AAF49195.1, AAF52483.2, AAF53569.1, AAF53570.2, AAF53571.1, AAF53673.2, AAF53710.2, AAF54586.2, AAF54589.1, AAF54590.2, AAF54591.1, AAF54593.3, AAF54594.1, AAF54595.1, AAF54596.1, AAF54597.2, AAF54598.1, AAF54861.1, AAF54862.2, AAF55892.7, AAF56143.1, AAF56144.2, AAF56145.1, AAF57149.2, NP_523607.2, NP_524686.3, NP_525007.2, NP_525008.2, NP_609909.1, NP_609910.1
OG0000006	6183.Smp_005710.1, 6183.Smp_086630.1, 6183.Smp_093070.1, 6183.Smp_102020.2, 6183.Smp_103640.1, 6183.Smp_113750.1, 6183.Smp_133400.1, 6183.Smp_154460.1, 6183.Smp_154590.1, 6183.Smp_155170.1, 6183.Smp_165590.1, 6183.Smp_165600.1, 6183.Smp_166470.1, 6183.Smp_173350.2, 6183.Smp_175670.1, 6183.Smp_179390.1, 6183.Smp_179420.1, 6183.Smp_179970.1, 6183.Smp_191400.1, 6183.Smp_192050.1, 6183.Smp_193380.1, 6183.Smp_194130.1, 6183.Smp_201330.1, 6183.Smp_202320.1, 6183.Smp_202420.1, 6183.Smp_202700.1, 6183.Smp_202840.1, 6183.Smp_202850.1, 6183.Smp_204710.1, 6183.Smp_204830.1, 6183.Smp_204840.1, 6183.Smp_205310.1	
OG0000007		AAF49326.2, AAF49327.1, AAF49943.1, AAF50231.1, AAF50232.1, AAF50233.1, AAF50241.1, AAF50427.1, AAF50428.1, AAF50557.3, AAF50700.1, AAF50708.1, AAF50709.1, AAF50711.1, AAF50712.1, AAF50713.1, AAF50714.1, AAF50715.1, AAF50716.1, AAF50717.2, AAF52179.1, AAF52180.1, AAF52181.1, AAF57055.1, AAF57056.2, AAF59060.2, NP_524553.1, NP_524554.1, NP_524555.1, NP_573072.1
OG0000008		AAF48270.2, AAF50802.1, AAF54054.3, AAF54784.1, AAF54785.1, AAF54795.2, AAF57693.1, AAF57694.1, AAF57697.1, AAF57698.1, AAF57699.1, AAF57702.1, NP_524326.1, NP_524912.1, NP_524913.1, NP_524914.3, NP_524915.1, NP_524916.1, NP_525114.1, NP_610457.1, NP_610509.2, NP_610855.1, NP_611323.1, NP_611324.1, NP_611328.1, NP_611329.1, NP_611339.1, Q9VG97.1, XP_080532.1
OG0000009		AAF43410.1, AAF46731.3, AAF46994.2, AAF47847.2, AAF49004.2, AAF49176.2, AAF53411.2, AAF53412.2, AAF53413.1, AAF53414.1, AAF54938.2, AAF55084.2, AAF55211.1, AAF55689.2, AAF56159.3, AAF56169.4, AAF56675.1, AAF56677.1, AAF56778.2, AAF57029.1, AAF57030.1, AAF57079.3, AAF57862.2, AAF58868.2, AAF58909.2, NP_572582.1, NP_611054.3, P13582.3, XP_081173.1
