Orthogroup	Total	protein_mansoni	resultado_cel	resultado_dme	resultado_sce
OG0000011	42	6183.Smp_034850.1, 6183.Smp_127170.1, 6183.Smp_141570.1, 6183.Smp_155970.1	NP_491692.1, NP_491810.2, NP_492381.3, NP_492511.2, NP_494333.1, NP_494786.5, NP_495313.1, NP_495727.1, NP_495961.3, NP_499470.2, NP_499529.2, NP_499790.1, NP_504663.2, NP_505731.3, NP_506078.1, NP_506091.2, NP_506103.2, NP_506416.2, NP_507483.1, NP_507713.1, NP_508031.3, NP_508526.2, NP_508732.3, NP_509516.1, NP_509697.1, NP_509942.4, NP_510284.1, NP_510305.1	AAF45991.2, AAF46673.2, AAF47456.1, AAF48048.2, AAF54374.1, AAF54970.2, AAF55561.1, NP_511112.1, NP_610349.1	NP_012442.1
OG0000018	33	6183.Smp_011000.1, 6183.Smp_146180.1	NP_501877.2, NP_503184.1, NP_503185.1, NP_503233.1, NP_504662.1, NP_504755.3, NP_505527.1, NP_506229.1, NP_506641.1	AAF47182.3, AAF51110.1, AAF51606.1, AAF52972.2, AAF52973.1, AAF52978.1, AAF52981.2, AAF52982.2, AAF52985.2, AAF54840.3, AAF54841.2, AAF54842.3, AAF54843.4, AAF54844.2, AAF56528.2, AAF57253.5, AAF58163.1, NP_477331.1, NP_523540.1, NP_524667.1, NP_609418.1	NP_012782.1
OG0000019	33	6183.Smp_054350.1, 6183.Smp_076300.1, 6183.Smp_098780.1, 6183.Smp_127090.1, 6183.Smp_133480.1, 6183.Smp_135710.1, 6183.Smp_145650.1, 6183.Smp_150430.1, 6183.Smp_158750.1	NP_491826.1, NP_492676.2, NP_494704.1, NP_494775.1, NP_496411.1, NP_500700.1, NP_508006.1, NP_508644.1, NP_508645.1, NP_508664.2	AAF45367.1, AAF50092.2, AAF59407.1, NP_476730.1, NP_476834.1, NP_523814.1, NP_523912.1, NP_524202.1, NP_524495.1, NP_524496.1, NP_524542.1	NP_009991.2, NP_012135.1, NP_014331.3
OG0000029	29	6183.Smp_050630.1, 6183.Smp_069120.1, 6183.Smp_128480.1, 6183.Smp_145120.1, 6183.Smp_150920.1, 6183.Smp_151430.1, 6183.Smp_159640.1, 6183.Smp_175900.1, 6183.Smp_194330.1, 6183.Smp_206290.1	NP_491853.2, NP_493802.2, NP_495394.3, NP_495395.1, NP_495673.2, NP_497261.2, NP_498467.3, NP_503406.4, NP_503409.1, NP_510526.2	AAF46620.2, AAF48260.1, AAF49683.1, AAF51205.1, AAF52148.1, AAF55101.1, AAF59354.4, NP_573251.1	NP_014784.1
OG0000036	26	6183.Smp_000120.1, 6183.Smp_018510.1, 6183.Smp_038920.1, 6183.Smp_106390.1, 6183.Smp_158010.1, 6183.Smp_164350.1, 6183.Smp_178530.1, 6183.Smp_183860.1, 6183.Smp_185440.1, 6183.Smp_188900.1, 6183.Smp_192040.1, 6183.Smp_195110.1, 6183.Smp_195120.1, 6183.Smp_195130.1, 6183.Smp_195140.1, 6183.Smp_195150.1, 6183.Smp_195160.1	NP_491240.2, NP_495557.1, NP_508116.1, NP_510849.1	AAF48015.1	NP_011624.1, NP_012184.1, NP_012185.1, NP_058162.3
OG0000037	26	6183.Smp_005790.1, 6183.Smp_016250.2, 6183.Smp_016630.1, 6183.Smp_020080.1	NP_490790.1, NP_490906.1, NP_491715.1, NP_492108.1, NP_492312.1, NP_499921.2, NP_500740.4, NP_501921.1, NP_504745.1, NP_505157.1, NP_505425.1, NP_505840.1, NP_506160.1, NP_506161.1, NP_506190.2, NP_506290.1, NP_509557.1	AAF58485.2, NP_477502.1, P16378.1	NP_010937.3, NP_011868.1
OG0000039	25	6183.Smp_126450.1, 6183.Smp_137890.1, 6183.Smp_181150.1	NP_494495.3, NP_497825.2, NP_498322.1, NP_498425.2, NP_499442.2, NP_502164.1, NP_502352.1	AAF47020.3, AAF50035.2, AAF51027.1, AAF51122.3, AAF51131.1, AAF51223.1, AAF51340.1, AAF51341.3, AAF51548.2, NP_476787.1, NP_524108.1, NP_608493.2, NP_608760.2	NP_009937.2, NP_014567.2
OG0000044	24	6183.Smp_000240.1, 6183.Smp_078520.1, 6183.Smp_079730.1, 6183.Smp_089060.1, 6183.Smp_130190.1	NP_493022.1, NP_493023.1, NP_493029.1, NP_495483.1, NP_497959.1, NP_499734.1, NP_499818.1, NP_502291.1, NP_506360.1, NP_508674.1	AAF48578.3, AAF53587.1, AAF54259.1, AAF55577.2, AAF56024.1, AAK92893.1	NP_011471.1, NP_014289.1, NP_014601.1
OG0000046	24	6183.Smp_055780.1, 6183.Smp_089200.1, 6183.Smp_137080.1, 6183.Smp_170820.1	NP_491707.2, NP_495674.2, NP_502413.1, NP_507487.1, NP_509205.2, NP_509810.2, NP_509811.2, NP_509812.2, NP_509813.1, NP_509901.1, NP_509902.1, NP_510126.1, NP_510127.2, NP_510128.1, NP_510129.1	AAF50670.1, AAF58437.2, NP_476831.1, NP_523740.3	NP_012713.1
OG0000051	23	6183.Smp_032370.1, 6183.Smp_076580.1, 6183.Smp_081430.1, 6183.Smp_120070.1, 6183.Smp_139680.1, 6183.Smp_139700.1, 6183.Smp_179840.1, 6183.Smp_179850.1, 6183.Smp_203940.1, 6183.Smp_203950.1	NP_491557.1, NP_506570.1, NP_507860.3	AAF46156.1, AAF55538.2, AAF55546.2, AAF59212.3, AAF59214.2, AAF59216.3, AAF59217.1, NP_610309.1, NP_611471.1	NP_014889.3
