Orthogroup	Total	protein_mansoni	sequence_Homo sapiens
OG0000006	24	6183.Smp_011560.1, 6183.Smp_013370.3, 6183.Smp_017430.1, 6183.Smp_019340.1, 6183.Smp_024820.2, 6183.Smp_035020.2, 6183.Smp_059530.2, 6183.Smp_062980.1, 6183.Smp_075720.1, 6183.Smp_095630.1, 6183.Smp_099770.1, 6183.Smp_100080.1, 6183.Smp_131840.1, 6183.Smp_142230.1, 6183.Smp_154180.1, 6183.Smp_154190.1, 6183.Smp_173150.1, 6183.Smp_174190.1, 6183.Smp_176870.1, 6183.Smp_181530.1, 6183.Smp_194960.1, 6183.Smp_194970.1, 6183.Smp_194980.1	11p15.5 CD81 molecule [Homo sapiens]
OG0000020	15	6183.Smp_001420.1, 6183.Smp_007210.1, 6183.Smp_022130.1, 6183.Smp_070310.1, 6183.Smp_079800.1, 6183.Smp_098250.1, 6183.Smp_130480.1, 6183.Smp_133790.1, 6183.Smp_145170.1, 6183.Smp_151740.1, 6183.Smp_160470.1, 6183.Smp_165040.1, 6183.Smp_165700.2, 6183.Smp_207030.1	16p11.2 TBC1 domain family member 10B [Homo sapiens]
OG0000023	15	6183.Smp_014660.2, 6183.Smp_040570.1, 6183.Smp_063070.1, 6183.Smp_104670.1, 6183.Smp_129350.1, 6183.Smp_132500.1, 6183.Smp_149440.1, 6183.Smp_150830.1, 6183.Smp_154580.1, 6183.Smp_163580.1, 6183.Smp_169460.1, 6183.Smp_169470.1, 6183.Smp_176050.1, 6183.Smp_210430.1	12q24 RAB35_ member RAS oncogene family [Homo sapiens]
OG0000025	14	6183.Smp_000340.1, 6183.Smp_097700.1, 6183.Smp_139200.1, 6183.Smp_174700.1	12q13 retinoic acid receptor_ gamma [Homo sapiens], 15q21-q22 RAR-related orphan receptor A [Homo sapiens], 17q21.1 retinoic acid receptor_ alpha [Homo sapiens], 1q41 estrogen-related receptor gamma [Homo sapiens], 20q13.12 hepatocyte nuclear factor 4_ alpha [Homo sapiens], 2q22-q23 nuclear receptor subfamily 4 group A member 2 [Homo sapiens], 4q31 nuclear receptor subfamily 3 group C member 2 [Homo sapiens], 6p21.2 peroxisome proliferator-activated receptor delta [Homo sapiens], 6p21.3 retinoid X receptor beta [Homo sapiens], 9q34 retinoid X receptor alpha [Homo sapiens]
OG0000026	14	6183.Smp_004350.1, 6183.Smp_028100.1, 6183.Smp_041390.1, 6183.Smp_055960.1, 6183.Smp_059750.2, 6183.Smp_067980.4, 6183.Smp_067990.4, 6183.Smp_068000.1, 6183.Smp_083400.1, 6183.Smp_118220.1, 6183.Smp_169440.1, 6183.Smp_174670.1, 6183.Smp_180170.1	5q31.2 ubiquitin conjugating enzyme E2D 2 [Homo sapiens]
OG0000031	13	6183.Smp_000780.1, 6183.Smp_000790.1, 6183.Smp_012810.1, 6183.Smp_020540.2, 6183.Smp_048560.1, 6183.Smp_138170.1, 6183.Smp_140310.1, 6183.Smp_143130.1, 6183.Smp_146200.2, 6183.Smp_157310.1, 6183.Smp_163960.1, 6183.Smp_165070.1	12p11-q12 prickle homolog 1 [Homo sapiens]
OG0000036	13	6183.Smp_018690.1, 6183.Smp_058080.1, 6183.Smp_118040.1, 6183.Smp_123350.1, 6183.Smp_126010.1, 6183.Smp_132410.1, 6183.Smp_133550.1, 6183.Smp_141880.1, 6183.Smp_169680.1, 6183.Smp_170020.1, 6183.Smp_172170.1, 6183.Smp_203500.1	4q31.22 endothelin receptor type A [Homo sapiens]
OG0000042	12	6183.Smp_164590.1, 6183.Smp_196840.1	12q12-q13.2 collagen_ type II_ alpha 1 [Homo sapiens], 15q15 thrombospondin 1 [Homo sapiens], 17q21.33 collagen_ type I_ alpha 1 [Homo sapiens], 1p21 collagen_ type XI_ alpha 1 [Homo sapiens], 2p21 cysteine rich transmembrane BMP regulator 1 _chordin-like_ [Homo sapiens], 2q14-q32 collagen_ type V_ alpha 2 [Homo sapiens], 2q32.2 collagen_ type III_ alpha 1 [Homo sapiens], 7q21.3 collagen_ type I_ alpha 2 [Homo sapiens], 9q33.1 collagen_ type XXVII_ alpha 1 [Homo sapiens], 9q34.2-q34.3 collagen_ type V_ alpha 1 [Homo sapiens]
OG0000044	11	6183.Smp_007950.1, 6183.Smp_015920.1, 6183.Smp_021370.1, 6183.Smp_024650.1, 6183.Smp_047240.2, 6183.Smp_056260.1, 6183.Smp_146430.1, 6183.Smp_153110.1, 6183.Smp_210290.1, 6183.Smp_211240.1	20q13.1-q13.2 UDP-Gal_betaGlcNAc beta 1_4- galactosyltransferase_ polypeptide 5 [Homo sapiens]
OG0000046	11	6183.Smp_016920.1, 6183.Smp_047420.1, 6183.Smp_047700.1, 6183.Smp_048680.1, 6183.Smp_049970.5, 6183.Smp_134780.1, 6183.Smp_176120.1, 6183.Smp_205270.1	15q21 ring finger protein 111 [Homo sapiens], 18q21.1 chromosome 18 open reading frame 25 [Homo sapiens], Xq13-q21 ring finger protein_ LIM domain interacting [Homo sapiens]
OG0000053	11	6183.Smp_050630.1, 6183.Smp_069120.1, 6183.Smp_145120.1, 6183.Smp_150350.1, 6183.Smp_150920.1, 6183.Smp_151430.1, 6183.Smp_159640.1, 6183.Smp_175900.1, 6183.Smp_194330.1, 6183.Smp_206290.1	1q32.2 synaptotagmin 14 [Homo sapiens]
OG0000056	11	6183.Smp_157300.1	10q11.2 ret proto-oncogene [Homo sapiens], 10q25.3-q26 fibroblast growth factor receptor 2 [Homo sapiens], 13q12 fms-related tyrosine kinase 1 [Homo sapiens], 4q11-q12 kinase insert domain receptor [Homo sapiens], 4q12 platelet-derived growth factor receptor_ alpha polypeptide [Homo sapiens], 4q12 v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog [Homo sapiens], 5q32 colony stimulating factor 1 receptor [Homo sapiens], 5q33.1 platelet-derived growth factor receptor_ beta polypeptide [Homo sapiens], 5q34-q35 fms-related tyrosine kinase 4 [Homo sapiens], 8p11.23-p11.22 fibroblast growth factor receptor 1 [Homo sapiens]
OG0000062	10	6183.Smp_018290.1, 6183.Smp_065290.1, 6183.Smp_088920.1, 6183.Smp_098840.1, 6183.Smp_121780.1, 6183.Smp_165210.1, 6183.Smp_171370.1, 6183.Smp_181490.1, 6183.Smp_199420.1	3p21.31 CaM kinase-like vesicle-associated [Homo sapiens]
OG0000065	10	6183.Smp_043920.1, 6183.Smp_074830.1, 6183.Smp_155240.1, 6183.Smp_158370.1, 6183.Smp_161800.1, 6183.Smp_163450.1, 6183.Smp_173320.1, 6183.Smp_181160.1, 6183.Smp_210200.1	2q13 tubulin tyrosine ligase [Homo sapiens]
OG0000066	10	6183.Smp_046000.1, 6183.Smp_062510.1, 6183.Smp_071250.1, 6183.Smp_084940.3, 6183.Smp_142450.1, 6183.Smp_165570.1, 6183.Smp_179910.1	12q14 RAP1B_ member of RAS oncogene family [Homo sapiens], 1p13.3 RAP1A_ member of RAS oncogene family [Homo sapiens], 7q36 Ras homolog enriched in brain [Homo sapiens]
OG0000071	9	6183.Smp_000870.1, 6183.Smp_055130.1, 6183.Smp_063260.1, 6183.Smp_093740.3, 6183.Smp_132450.2, 6183.Smp_144330.1, 6183.Smp_174690.1, 6183.Smp_180740.1	3p25.1 FYVE_ RhoGEF and PH domain containing 5 [Homo sapiens]
OG0000077	9	6183.Smp_038340.1, 6183.Smp_073070.1, 6183.Smp_094130.1, 6183.Smp_130350.1, 6183.Smp_142520.1, 6183.Smp_146630.1, 6183.Smp_146700.1, 6183.Smp_201760.1	22q11.21 zinc finger_ DHHC-type containing 8 [Homo sapiens]
OG0000083	9	6183.Smp_085380.1, 6183.Smp_096320.1, 6183.Smp_122340.1, 6183.Smp_136100.1, 6183.Smp_141890.1, 6183.Smp_143970.1, 6183.Smp_158450.2	16q24.1 kelch like family member 36 [Homo sapiens], 7p14.3 kelch repeat and BTB _POZ_ domain containing 2 [Homo sapiens]
OG0000084	9	6183.Smp_090160.1, 6183.Smp_129480.1, 6183.Smp_142560.1, 6183.Smp_142580.1, 6183.Smp_144120.1, 6183.Smp_148570.1, 6183.Smp_165410.1	1q24.1 LIM homeobox transcription factor 1_ alpha [Homo sapiens], 9q33.2 LIM homeobox 6 [Homo sapiens]
OG0000089	8	6183.Smp_002150.1, 6183.Smp_030350.1, 6183.Smp_065530.1, 6183.Smp_103680.1, 6183.Smp_129230.1	11p11.2 coagulation factor II _thrombin_ [Homo sapiens], 7q21.1 hepatocyte growth factor _hepapoietin A; scatter factor_ [Homo sapiens], Xq26.3-q27.1 coagulation factor IX [Homo sapiens]
OG0000090	8	6183.Smp_003190.1, 6183.Smp_075030.1, 6183.Smp_079420.2, 6183.Smp_079760.1, 6183.Smp_143770.1, 6183.Smp_198360.1	1p13-p11 notch 2 [Homo sapiens], 9q34.3 notch 1 [Homo sapiens]
OG0000094	8	6183.Smp_017020.1, 6183.Smp_035650.1, 6183.Smp_053520.1, 6183.Smp_091160.1, 6183.Smp_124010.1, 6183.Smp_126560.1, 6183.Smp_175710.1	1p34.1 diencephalon/mesencephalon homeobox 1 [Homo sapiens]
OG0000100	8	6183.Smp_049160.1, 6183.Smp_075230.1, 6183.Smp_124090.1, 6183.Smp_152210.1, 6183.Smp_158490.1	14q32 B-cell CLL/lymphoma 11B _zinc finger protein_ [Homo sapiens], 17q22 vascular endothelial zinc finger 1 [Homo sapiens], 22q12.2 POZ _BTB_ and AT hook containing zinc finger 1 [Homo sapiens]
OG0000103	8	6183.Smp_130570.1, 6183.Smp_134180.1, 6183.Smp_144050.1, 6183.Smp_152750.1, 6183.Smp_156220.1, 6183.Smp_157620.1, 6183.Smp_160050.1	1q31-q32 protein tyrosine phosphatase_ receptor type_ C [Homo sapiens]
OG0000104	7	6183.Smp_001900.1, 6183.Smp_121960.1, 6183.Smp_148020.1, 6183.Smp_176350.1	12q11-q12 contactin 1 [Homo sapiens], 1q32.1 neurofascin [Homo sapiens], Xq28 L1 cell adhesion molecule [Homo sapiens]
OG0000105	7	6183.Smp_003900.1	12q24.1 T-box 5 [Homo sapiens], 17q21.32 T-box 21 [Homo sapiens], 22q11.21 T-box 1 [Homo sapiens], 2q24.2 T-box_ brain 1 [Homo sapiens], 6q14.1-q15 T-box 18 [Homo sapiens], Xq21.1 T-box 22 [Homo sapiens]
OG0000109	7	6183.Smp_018950.1, 6183.Smp_101820.1, 6183.Smp_122800.1, 6183.Smp_161160.1, 6183.Smp_164650.1	10p15.3 La ribonucleoprotein domain family member 4B [Homo sapiens], 12q13.12 La ribonucleoprotein domain family member 4 [Homo sapiens]
OG0000115	7	6183.Smp_043100.1, 6183.Smp_053940.1, 6183.Smp_056810.1	12q13.1 heterogeneous nuclear ribonucleoprotein A1 [Homo sapiens], 2q31.2 heterogeneous nuclear ribonucleoprotein A3 [Homo sapiens], 4q21 heterogeneous nuclear ribonucleoprotein D [Homo sapiens], 7p15 heterogeneous nuclear ribonucleoprotein A2/B1 [Homo sapiens]
OG0000120	7	6183.Smp_065980.1, 6183.Smp_072970.1, 6183.Smp_138680.2, 6183.Smp_152850.1, 6183.Smp_155020.1, 6183.Smp_155480.1	17q21.2 DnaJ heat shock protein family _Hsp40_ member C7 [Homo sapiens]
OG0000121	7	6183.Smp_073340.1, 6183.Smp_080730.1	10q21.2 cyclin-dependent kinase 1 [Homo sapiens], 12q13 cyclin-dependent kinase 2 [Homo sapiens], 12q13 cyclin-dependent kinase 4 [Homo sapiens], 7q21-q22 cyclin-dependent kinase 6 [Homo sapiens], 7q36 cyclin-dependent kinase 5 [Homo sapiens]
OG0000125	7	6183.Smp_146790.1	10q22.1 nodal growth differentiation factor [Homo sapiens], 14q22-q23 bone morphogenetic protein 4 [Homo sapiens], 20p12 bone morphogenetic protein 2 [Homo sapiens], 20q13 bone morphogenetic protein 7 [Homo sapiens], 2q14.2 inhibin beta B [Homo sapiens], 8q22.1 growth differentiation factor 6 [Homo sapiens]
OG0000126	6	6183.Smp_003980.1, 6183.Smp_089460.2, 6183.Smp_137410.1, 6183.Smp_157500.1, 6183.Smp_159550.1	16p13.3 calpain 15 [Homo sapiens]
OG0000127	6	6183.Smp_005070.1, 6183.Smp_022330.1, 6183.Smp_083450.1, 6183.Smp_136910.1, 6183.Smp_172510.1	7q36.3 DnaJ heat shock protein family _Hsp40_ member B6 [Homo sapiens]
OG0000132	6	6183.Smp_030650.1, 6183.Smp_138730.1, 6183.Smp_138750.1, 6183.Smp_175120.2, 6183.Smp_212520.1	14q24.3 fucosyltransferase 8 _alpha _1_6_ fucosyltransferase_ [Homo sapiens]
OG0000135	6	6183.Smp_046180.1, 6183.Smp_122730.1, 6183.Smp_122770.1, 6183.Smp_182200.1, 6183.Smp_186690.1	6p21.2 cap methyltransferase 1 [Homo sapiens]
OG0000139	6	6183.Smp_062080.1, 6183.Smp_062120.1, 6183.Smp_155530.1, 6183.Smp_155550.1, 6183.Smp_155560.1	1q25.1 serpin peptidase inhibitor_ clade C _antithrombin__ member 1 [Homo sapiens]
OG0000140	6	6183.Smp_064320.1	11q13 v-rel avian reticuloendotheliosis viral oncogene homolog A [Homo sapiens], 14q13 nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor_ alpha [Homo sapiens], 19q13.32 v-rel avian reticuloendotheliosis viral oncogene homolog B [Homo sapiens], 3p12-q12 nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor_ zeta [Homo sapiens], 4q24 nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 [Homo sapiens]
OG0000141	6	6183.Smp_068220.1, 6183.Smp_170530.1	14q23 MYC associated factor X [Homo sapiens], 17p13.3 MAX network transcriptional repressor [Homo sapiens], 19q13 upstream transcription factor 2_ c-fos interacting [Homo sapiens], 2p24.3 v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog [Homo sapiens]
OG0000149	6	6183.Smp_093930.2, 6183.Smp_152680.1, 6183.Smp_165470.1	17q11.2-q12 erb-b2 receptor tyrosine kinase 2 [Homo sapiens], 2q33.3-q34 erb-b2 receptor tyrosine kinase 4 [Homo sapiens], 7p12 epidermal growth factor receptor [Homo sapiens]
OG0000155	6	6183.Smp_137910.1, 6183.Smp_154560.1, 6183.Smp_170290.1	10q23 discs_ large homolog 5 _Drosophila_ [Homo sapiens], 17p13.1 discs_ large homolog 4 _Drosophila_ [Homo sapiens], 3q29 discs_ large homolog 1 _Drosophila_ [Homo sapiens]
OG0000156	6	6183.Smp_142940.1, 6183.Smp_160670.1	11p13 paired box 6 [Homo sapiens], 2q13 paired box 8 [Homo sapiens], 2q36.1 paired box 3 [Homo sapiens], 9p13.2 paired box 5 [Homo sapiens]
OG0000157	6	6183.Smp_147790.1, 6183.Smp_154790.1, 6183.Smp_154800.1	15q14 Meis homeobox 2 [Homo sapiens], 21q22.3 PBX/knotted 1 homeobox 1 [Homo sapiens], 2p14 Meis homeobox 1 [Homo sapiens]
OG0000158	6	6183.Smp_154760.1	11q13.4 LDL receptor related protein 5 [Homo sapiens], 12p13.2 LDL receptor related protein 6 [Homo sapiens], 12q13.3 LDL receptor related protein 1 [Homo sapiens], 2q21.2 LDL receptor related protein 1B [Homo sapiens], 2q31.1 LDL receptor related protein 2 [Homo sapiens]
OG0000164	5	6183.Smp_005640.1, 6183.Smp_058050.1, 6183.Smp_153400.1, 6183.Smp_180200.1	10p12.1 mitochondrial poly_A_ polymerase [Homo sapiens]
OG0000173	5	6183.Smp_017860.1, 6183.Smp_034490.1, 6183.Smp_073410.1, 6183.Smp_164840.1	9q34.11-q34.12 proteasome subunit beta 7 [Homo sapiens]
OG0000175	5	6183.Smp_019990.1, 6183.Smp_034400.1, 6183.Smp_060700.1, 6183.Smp_143060.1	19q13.32 adaptor related protein complex 2 sigma 1 subunit [Homo sapiens]
OG0000176	5	6183.Smp_020460.1, 6183.Smp_099870.1, 6183.Smp_135320.1	20q13.3 eukaryotic translation elongation factor 1 alpha 2 [Homo sapiens], 6q14.1 eukaryotic translation elongation factor 1 alpha 1 [Homo sapiens]
OG0000179	5	6183.Smp_028990.1, 6183.Smp_199620.1	11q13 protein phosphatase 1_ catalytic subunit_ alpha isozyme [Homo sapiens], 12q24.1-q24.2 protein phosphatase 1_ catalytic subunit_ gamma isozyme [Homo sapiens], 2p23 protein phosphatase 1_ catalytic subunit_ beta isozyme [Homo sapiens]
OG0000181	5	6183.Smp_031940.1, 6183.Smp_086690.1	17p12 mitogen-activated protein kinase kinase 4 [Homo sapiens], 17q mitogen-activated protein kinase kinase 6 [Homo sapiens], 19p13.3-p13.2 mitogen-activated protein kinase kinase 7 [Homo sapiens]
OG0000183	5	6183.Smp_037540.2, 6183.Smp_052510.1, 6183.Smp_142810.1, 6183.Smp_156550.1	11q12-q22 solute carrier family 3 _amino acid transporter heavy chain__ member 2 [Homo sapiens]
OG0000184	5	6183.Smp_042670.2, 6183.Smp_153710.1, 6183.Smp_172620.1, 6183.Smp_199070.1	2q12.1 CCR4-NOT transcription complex subunit 11 [Homo sapiens]
OG0000185	5	6183.Smp_045680.1, 6183.Smp_146740.1, 6183.Smp_146750.1, 6183.Smp_167210.1	1p36.1-p35 solute carrier family 9_ subfamily A _NHE1_ cation proton antiporter 1__ member 1 [Homo sapiens]
OG0000189	5	6183.Smp_049850.1, 6183.Smp_103560.1, 6183.Smp_148820.1, 6183.Smp_168500.1	Xq26.2 hypoxanthine phosphoribosyltransferase 1 [Homo sapiens]
