Orthogroup	Total	protein_mansoni	sequence_Saccharomyces cerevisiae
OG0000002	50	6183.Smp_011430.1, 6183.Smp_013630.1, 6183.Smp_016230.1, 6183.Smp_055240.1, 6183.Smp_069720.1, 6183.Smp_083220.1, 6183.Smp_124580.1, 6183.Smp_125510.1, 6183.Smp_126050.1, 6183.Smp_129530.1, 6183.Smp_129830.1, 6183.Smp_131010.1, 6183.Smp_131600.1, 6183.Smp_132320.1, 6183.Smp_135610.1, 6183.Smp_135630.1, 6183.Smp_135640.1, 6183.Smp_135730.1, 6183.Smp_141740.1, 6183.Smp_145210.1, 6183.Smp_147830.1, 6183.Smp_148300.1, 6183.Smp_149010.1, 6183.Smp_149120.1, 6183.Smp_149140.1, 6183.Smp_149330.1, 6183.Smp_151540.1, 6183.Smp_151620.1, 6183.Smp_151630.1, 6183.Smp_155600.1, 6183.Smp_155810.1, 6183.Smp_156970.1, 6183.Smp_158870.1, 6183.Smp_159920.1, 6183.Smp_161520.1, 6183.Smp_162520.1, 6183.Smp_162550.1, 6183.Smp_162610.1, 6183.Smp_166440.1, 6183.Smp_167460.1, 6183.Smp_167470.1, 6183.Smp_176390.1, 6183.Smp_176470.1, 6183.Smp_176540.1, 6183.Smp_179750.1, 6183.Smp_192490.1, 6183.Smp_193230.1, 6183.Smp_196240.1, 6183.Smp_199910.1	NC_001134 Subunit of the origin recognition complex_ which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; interacts with Spp1p and with trimethylated histone H3; phosphorylated by Cdc28p [Saccharomyces cerevisiae]
OG0000025	18	6183.Smp_001040.1, 6183.Smp_002280.1, 6183.Smp_018120.1, 6183.Smp_035220.1, 6183.Smp_128200.2, 6183.Smp_132300.1, 6183.Smp_137230.1, 6183.Smp_137660.1, 6183.Smp_140570.1, 6183.Smp_147970.1, 6183.Smp_149260.1, 6183.Smp_159790.1, 6183.Smp_173450.1, 6183.Smp_179050.1, 6183.Smp_190520.1, 6183.Smp_197070.1, 6183.Smp_198590.1	NC_001139 Ribosomal protein of the large _60S_ ribosomal subunit_ has similarity to E. coli L15 and rat L27a ribosomal proteins; may have peptidyl transferase activity; can mutate to cycloheximide resistance [Saccharomyces cerevisiae]
OG0000028	18	6183.Smp_012010.1, 6183.Smp_054350.1, 6183.Smp_076300.1, 6183.Smp_086270.1, 6183.Smp_098780.1, 6183.Smp_127090.1, 6183.Smp_133480.1, 6183.Smp_133520.1, 6183.Smp_135710.1, 6183.Smp_145650.1, 6183.Smp_150430.1, 6183.Smp_152170.1, 6183.Smp_155010.1, 6183.Smp_158750.1, 6183.Smp_187740.1, 6183.Smp_200710.1, 6183.Smp_212350.1	NC_001148 Transcriptional activator with similarity to DNA-binding domain of Drosophila forkhead but unable to bind DNA in vitro; required for rRNA processing; isolated as a suppressor of splicing factor prp4 [Saccharomyces cerevisiae]
OG0000030	17	6183.Smp_009600.1, 6183.Smp_142990.1, 6183.Smp_145190.1, 6183.Smp_147450.1, 6183.Smp_152330.1, 6183.Smp_164380.1, 6183.Smp_166150.1	NC_001133 Protein kinase of the Mitotic Exit Network that is localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II [Saccharomyces cerevisiae], NC_001134 Protein serine/threonine kinase essential for cell wall remodeling during growth; localized to sites of polarized growth and the mother-daughter bud neck; homolog of the alpha_ beta_ and gamma isoforms of mammalian protein kinase C _PKC_ [Saccharomyces cerevisiae], NC_001139 Protein ser/thr kinase required for vesicle formation in autophagy and the cytoplasm-to-vacuole targeting _Cvt_ pathway; structurally required for phagophore assembly site formation; during autophagy forms a complex with Atg13p and Atg17p [Saccharomyces cerevisiae], NC_001142 cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; inhibited by regulatory subunit Bcy1p in the absence of cAMP; partially redundant with Tpk2p and Tpk3p [Saccharomyces cerevisiae], NC_001143 Nim1p-related protein kinase that regulates the morphogenesis and septin checkpoints; associates with the assembled septin filament; required along with Hsl7p for bud neck recruitment_ phosphorylation_ and degradation of Swe1p [Saccharomyces cerevisiae], NC_001143 cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; inhibited by regulatory subunit Bcy1p in the absence of cAMP; partially redundant with Tpk1p and Tpk2p [Saccharomyces cerevisiae], NC_001145 Polo-like kinase with similarity to Xenopus Plx1 and S. pombe Plo1p; found at bud neck_ nucleus and SPBs; has multiple functions in mitosis and cytokinesis through phosphorylation of substrates; may be a Cdc28p substrate [Saccharomyces cerevisiae], NC_001147 Serine/threonine protein kinase that inhibits the mitotic exit network _MEN_ when the spindle position checkpoint is activated; localized asymmetrically to mother cell cortex_ spindle pole body and bud neck [Saccharomyces cerevisiae], NC_001148 Protein kinase_ required for cell-cycle arrest in response to DNA damage; activated by trans autophosphorylation when interacting with hyperphosphorylated Rad9p; also interacts with ARS1 and plays a role in initiation of DNA replication [Saccharomyces cerevisiae], NC_001148 cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; inhibited by regulatory subunit Bcy1p in the absence of cAMP; partially redundant with Tpk1p and Tpk3p [Saccharomyces cerevisiae]
OG0000031	17	6183.Smp_020920.1, 6183.Smp_022330.1, 6183.Smp_035200.4, 6183.Smp_078800.1, 6183.Smp_083450.1, 6183.Smp_096010.1, 6183.Smp_104730.1, 6183.Smp_105960.1, 6183.Smp_132870.1, 6183.Smp_136540.1, 6183.Smp_136910.1, 6183.Smp_141080.1, 6183.Smp_146900.1, 6183.Smp_173390.1, 6183.Smp_196180.1	NC_001141 Cytosolic J-domain-containing protein_ required for peroxisomal protein import and involved in peroxisome assembly_ homologous to E. coli DnaJ [Saccharomyces cerevisiae], NC_001146 Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p; not functionally redundant with Ydj1p due to due to substrate specificity; shares similarity with bacterial DnaJ proteins [Saccharomyces cerevisiae]
OG0000040	15	6183.Smp_020200.1, 6183.Smp_090440.1, 6183.Smp_094020.1, 6183.Smp_146340.1, 6183.Smp_210260.1	NC_001134 Essential nucleolar protein_ putative DEAD-box RNA helicase required for maintenance of M1 dsRNA virus; involved in biogenesis of large _60S_ ribosomal subunits [Saccharomyces cerevisiae], NC_001134 RNA helicase in the DEAD-box family_ necessary for prespliceosome formation_ bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA [Saccharomyces cerevisiae], NC_001136 Putative ATP-dependent RNA helicase of the DEAD-box protein family_ constituent of 66S pre-ribosomal particles; essential protein involved in ribosome biogenesis [Saccharomyces cerevisiae], NC_001138 Putative ATP-dependent RNA helicase_ nucleolar protein required for synthesis of 60S ribosomal subunits at a late step in the pathway; sediments with 66S pre-ribosomes in sucrose gradients [Saccharomyces cerevisiae], NC_001139 ATP-dependent RNA helicase of the DEAD box family; required for 18S rRNA synthesis [Saccharomyces cerevisiae], NC_001140 Protein involved in rRNA processing; required for maturation of the 35S primary transcript of pre-rRNA and for cleavage leading to mature 18S rRNA; homologous to eIF-4a_ which is a DEAD box RNA-dependent ATPase with helicase activity [Saccharomyces cerevisiae], NC_001142 Putative nucleolar DEAD box RNA helicase; high-copy number suppression of a U14 snoRNA processing mutant suggests an involvement in 18S rRNA synthesis [Saccharomyces cerevisiae], NC_001144 Nucleolar DEAD-box protein required for ribosome assembly and function_ including synthesis of 60S ribosomal subunits; constituent of 66S pre-ribosomal particles [Saccharomyces cerevisiae], NC_001145 ATP-dependent RNA helicase; localizes to both the nuclear periphery and nucleolus; highly enriched in nuclear pore complex fractions; constituent of 66S pre-ribosomal particles [Saccharomyces cerevisiae], NC_001146 Essential protein involved in ribosome biogenesis; putative ATP-dependent RNA helicase of the DEAD-box protein family [Saccharomyces cerevisiae]
OG0000044	13	6183.Smp_000170.1, 6183.Smp_000180.1, 6183.Smp_026420.1, 6183.Smp_064950.1, 6183.Smp_068510.1, 6183.Smp_085650.1, 6183.Smp_106110.1, 6183.Smp_151600.1, 6183.Smp_153320.1, 6183.Smp_158980.1, 6183.Smp_158990.1, 6183.Smp_178100.1	NC_001136 N-myristoylated calcium-binding protein that may have a role in intracellular signaling through its regulation of the phosphatidylinositol 4-kinase Pik1p; member of the recoverin/frequenin branch of the EF-hand superfamily [Saccharomyces cerevisiae]
OG0000045	13	6183.Smp_000190.1, 6183.Smp_009430.1, 6183.Smp_042680.1, 6183.Smp_084570.1, 6183.Smp_102190.1, 6183.Smp_117920.1, 6183.Smp_131430.1, 6183.Smp_141720.1, 6183.Smp_168550.1, 6183.Smp_168560.1, 6183.Smp_178940.1, 6183.Smp_212250.1	NC_001134 3-ketosphinganine reductase_ catalyzes the second step in phytosphingosine synthesis_ essential for growth in the absence of exogenous dihydrosphingosine or phytosphingosine_ member of short chain dehydrogenase/reductase protein family [Saccharomyces cerevisiae]
OG0000051	13	6183.Smp_032500.1, 6183.Smp_037590.1, 6183.Smp_054840.1, 6183.Smp_094140.1, 6183.Smp_143490.1, 6183.Smp_161880.1, 6183.Smp_172530.1	NC_001134 Component of the hexameric MCM complex_ which is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase [Saccharomyces cerevisiae], NC_001134 Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex [Saccharomyces cerevisiae], NC_001137 Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex [Saccharomyces cerevisiae], NC_001139 Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex [Saccharomyces cerevisiae], NC_001144 Component of the hexameric MCM complex_ which is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase [Saccharomyces cerevisiae], NC_001148 Essential helicase component of heterohexameric MCM2-7 complexes which bind pre-replication complexes on DNA and melt the DNA prior to replication; accumulates in the nucleus in G1; homolog of S. pombe Cdc21p [Saccharomyces cerevisiae]
OG0000069	11	6183.Smp_002550.1, 6183.Smp_032320.6, 6183.Smp_036270.2, 6183.Smp_071640.1, 6183.Smp_079290.1, 6183.Smp_086600.2, 6183.Smp_098890.2, 6183.Smp_113620.3, 6183.Smp_185230.1, 6183.Smp_192360.1	NC_001148 Single stranded RNA binding protein; acidic ribonucleoprotein; required for termination of non-poly_A_ transcripts and efficient splicing; interacts with Nrd1p [Saccharomyces cerevisiae]
