Orthogroup	kog_cerevisiae_pos_go	kog_droso_pos_go	kog_elegans_pos_go	kog_humano_pos_go	protein_mansoni
OG0000000		NP_611465.2		NP_060859.4, NP_066918.2	6183.Smp_001085.1, 6183.Smp_004230.1, 6183.Smp_004530.1, 6183.Smp_004540.1, 6183.Smp_015160.1, 6183.Smp_061930.1, 6183.Smp_071210.1, 6183.Smp_072440.1, 6183.Smp_072670.1, 6183.Smp_079720.1, 6183.Smp_081030.1, 6183.Smp_082460.1, 6183.Smp_082500.1, 6183.Smp_091070.1, 6183.Smp_095200.1, 6183.Smp_097670.1, 6183.Smp_097680.1, 6183.Smp_100790.1, 6183.Smp_114740.1, 6183.Smp_122190.1, 6183.Smp_122320.1, 6183.Smp_123400.1, 6183.Smp_123720.1, 6183.Smp_124560.1, 6183.Smp_125830.1, 6183.Smp_126570.1, 6183.Smp_127260.1, 6183.Smp_130150.1, 6183.Smp_130720.1, 6183.Smp_131750.1, 6183.Smp_131920.1, 6183.Smp_132110.1, 6183.Smp_132360.1, 6183.Smp_132960.1, 6183.Smp_133870.1, 6183.Smp_136090.1, 6183.Smp_137290.1, 6183.Smp_138650.1, 6183.Smp_138820.1, 6183.Smp_139730.1, 6183.Smp_139870.1, 6183.Smp_140280.1, 6183.Smp_141870.1, 6183.Smp_144150.1, 6183.Smp_145340.1, 6183.Smp_147130.1, 6183.Smp_149190.1, 6183.Smp_150000.1, 6183.Smp_151170.1, 6183.Smp_154310.1, 6183.Smp_155660.1, 6183.Smp_155710.1, 6183.Smp_155830.1, 6183.Smp_157030.1, 6183.Smp_159500.1, 6183.Smp_159610.1, 6183.Smp_160720.1, 6183.Smp_160980.1, 6183.Smp_160990.1, 6183.Smp_161690.1, 6183.Smp_162950.1, 6183.Smp_163370.1, 6183.Smp_163390.1, 6183.Smp_164870.1, 6183.Smp_165450.1, 6183.Smp_166600.1, 6183.Smp_166810.1, 6183.Smp_166950.1, 6183.Smp_167560.1, 6183.Smp_167720.1, 6183.Smp_168030.1, 6183.Smp_169810.1, 6183.Smp_170000.1, 6183.Smp_170190.1, 6183.Smp_172230.1, 6183.Smp_173140.1, 6183.Smp_173310.1, 6183.Smp_173950.1, 6183.Smp_174330.1, 6183.Smp_174460.1, 6183.Smp_174560.1, 6183.Smp_174600.1, 6183.Smp_175080.1, 6183.Smp_175880.1, 6183.Smp_177070.1, 6183.Smp_177750.1, 6183.Smp_179530.1, 6183.Smp_179640.1, 6183.Smp_180770.1, 6183.Smp_183420.1, 6183.Smp_184420.1, 6183.Smp_184840.1, 6183.Smp_185870.1, 6183.Smp_185890.1, 6183.Smp_186170.1, 6183.Smp_189170.1, 6183.Smp_189480.1, 6183.Smp_189980.1, 6183.Smp_190300.1, 6183.Smp_190540.1, 6183.Smp_190710.1, 6183.Smp_190760.1, 6183.Smp_192010.1, 6183.Smp_192230.1, 6183.Smp_192880.1, 6183.Smp_193940.1, 6183.Smp_193950.1, 6183.Smp_194440.1, 6183.Smp_198040.1, 6183.Smp_199970.1, 6183.Smp_212070.1
OG0000001				NP_001006657.1, NP_001026835.1, NP_001032824.2, NP_001071092.1, NP_001092096.1, NP_001096127.1, NP_001129745.1, NP_003399.1, NP_003405.4, NP_003407.1, NP_003408.1, NP_003410.1, NP_003414.2, NP_003417.2, NP_003419.3, NP_003420.2, NP_003421.2, NP_003431.2, NP_003432.1, NP_003437.2, NP_003443.2, NP_005640.2, NP_009067.2, NP_009078.1, NP_009084.2, NP_037381.2, NP_037388.3, NP_055162.1, NP_055295.2, NP_055465.1, NP_055713.1, NP_055745.1, NP_056209.2, NP_056936.2, NP_057173.2, NP_057304.1, NP_057349.2, NP_057620.3, NP_060572.3, NP_060770.3, NP_061025.5, NP_061145.2, NP_062537.2, NP_065127.5, NP_065703.1, NP_065906.1, NP_065984.3, NP_066385.2, NP_066574.2, NP_066986.1, NP_067645.3, NP_071386.3, NP_075558.2, NP_075562.2, NP_077011.1, NP_077301.4, NP_078896.3, NP_079009.3, NP_079303.2, NP_079316.2, NP_079465.3, NP_085057.3, NP_112234.3, NP_112495.2, NP_115809.1, NP_115973.2, NP_116068.2, NP_116078.4, NP_116177.1, NP_116214.2, NP_116227.1, NP_149973.1, NP_150630.2, NP_219363.2, NP_258429.2, NP_443084.2, NP_443092.1, NP_443114.1, NP_478137.1, NP_612143.2, NP_612383.1	
OG0000002				NP_002579.2, NP_003726.1, NP_003727.1, NP_037472.2, NP_056484.2, NP_061735.1, NP_061736.1, NP_061737.1, NP_061738.1, NP_061739.2, NP_061740.2, NP_061741.1, NP_061742.1, NP_061743.1, NP_061744.1, NP_061745.1, NP_061746.1, NP_061747.2, NP_061748.1, NP_061749.1, NP_061750.1, NP_061751.1, NP_061752.1, NP_061753.1, NP_061754.1, NP_061755.1, NP_061756.1, NP_061757.1, NP_061758.1, NP_061759.1, NP_061760.2, NP_061761.1, NP_061762.2, NP_061763.1, NP_061992.3, NP_061993.3, NP_066008.2, NP_114088.2, NP_114089.1, NP_114400.1, NP_114475.1, NP_114476.1, NP_114477.1, NP_114479.1, NP_115266.1, NP_115779.1, NP_115782.1, NP_115783.1	6183.Smp_135640.1, 6183.Smp_148300.1, 6183.Smp_161520.1, 6183.Smp_162550.1
OG0000003					6183.Smp_107070.1, 6183.Smp_107330.1, 6183.Smp_107450.1, 6183.Smp_107470.1, 6183.Smp_107640.1, 6183.Smp_107650.1, 6183.Smp_108360.1, 6183.Smp_108730.1, 6183.Smp_109040.1, 6183.Smp_110790.1, 6183.Smp_111090.1, 6183.Smp_111100.1, 6183.Smp_111890.1, 6183.Smp_111950.1, 6183.Smp_111960.1, 6183.Smp_112120.1, 6183.Smp_112170.1, 6183.Smp_112640.1, 6183.Smp_114810.1, 6183.Smp_116920.1, 6183.Smp_117130.1, 6183.Smp_117160.1, 6183.Smp_117270.1, 6183.Smp_117280.1, 6183.Smp_117520.1, 6183.Smp_117550.1, 6183.Smp_182030.1, 6183.Smp_182280.1, 6183.Smp_183180.1, 6183.Smp_183230.1, 6183.Smp_183240.1, 6183.Smp_183840.1, 6183.Smp_184590.1, 6183.Smp_184620.1, 6183.Smp_184630.1, 6183.Smp_184640.1, 6183.Smp_184720.1, 6183.Smp_184800.1, 6183.Smp_184870.1, 6183.Smp_184890.1, 6183.Smp_185070.1, 6183.Smp_185300.1, 6183.Smp_185390.1, 6183.Smp_185520.1, 6183.Smp_185710.1, 6183.Smp_186350.1, 6183.Smp_187080.1, 6183.Smp_190360.1, 6183.Smp_193510.1, 6183.Smp_193520.1
OG0000004	NP_009991.2, NP_012135.1, NP_014331.3	NP_476730.1, NP_476834.1, NP_523814.1, NP_523912.1, NP_524202.1, NP_524495.1, NP_524496.1, NP_524542.1	NP_491826.1, NP_492676.2, NP_494704.1, NP_494775.1, NP_496411.1, NP_508644.1	NP_001442.2, NP_001443.1, NP_001444.2, NP_001445.2, NP_003914.1, NP_004463.1, NP_004464.2, NP_004465.3, NP_004487.2, NP_004488.2, NP_004505.2, NP_005240.3, NP_005242.1, NP_036314.2, NP_036315.1, NP_036316.1, NP_036318.1, NP_036320.2, NP_055762.3, NP_060886.1, NP_068556.2, NP_075555.1, NP_150285.3	6183.Smp_054350.1, 6183.Smp_076300.1, 6183.Smp_098780.1, 6183.Smp_127090.1, 6183.Smp_133480.1, 6183.Smp_135710.1, 6183.Smp_145650.1, 6183.Smp_150430.1, 6183.Smp_158750.1
OG0000005			NP_492857.1, NP_492866.1, NP_492867.1, NP_492868.1, NP_492869.1, NP_492870.2, NP_492871.2, NP_492872.1, NP_492880.1, NP_493210.2, NP_493248.1, NP_493250.1, NP_493289.1, NP_493312.1, NP_493771.3, NP_494447.1, NP_494566.2, NP_494567.1, NP_494580.2, NP_494581.2, NP_494582.1, NP_494583.1, NP_494585.1, NP_494586.1, NP_496528.2, NP_498001.2, NP_498002.1, NP_501134.2, NP_501639.1, NP_502991.1, NP_502996.2, NP_503089.2, NP_503090.2, NP_503376.2, NP_503568.1, NP_503569.1, NP_505863.2, NP_507006.1, NP_507097.1, NP_507286.3, NP_507288.2, NP_507369.2, NP_507370.2, NP_507555.1, NP_507556.2, NP_507577.4, NP_507582.1, NP_507868.2, NP_507913.1		
OG0000006	NP_009406.1, NP_009450.1, NP_009451.1, NP_009549.1, NP_009567.1, NP_009909.2, NP_009910.2, NP_011064.3, NP_011087.3, NP_012086.1, NP_012560.1, NP_012562.1, NP_013136.1, NP_013668.1, NP_013672.1, NP_013759.1, NP_013765.1, NP_058138.3, NP_058139.1, NP_058140.1, NP_058142.3, NP_058143.1, NP_058146.3, NP_058147.3, NP_058148.1, NP_058150.1, NP_058152.1, NP_058157.1, NP_058158.1, NP_058160.1, NP_058163.1, NP_058165.3, NP_058169.1, NP_058171.1, NP_058174.3, NP_058175.1, NP_058178.1, NP_058181.1, NP_058183.1, NP_058185.3, NP_058186.1, NP_058189.1, NP_058191.1, NP_058193.1, NP_058195.1, NP_620387.1, NP_620389.3, NP_620390.1				
OG0000007			NP_503207.2, NP_503209.2, NP_503210.1, NP_503214.1, NP_503215.2, NP_503216.1, NP_503217.2, NP_503218.1, NP_503219.1, NP_503221.2, NP_503236.1, NP_503263.1, NP_503276.2, NP_503286.1, NP_503454.2, NP_503455.1, NP_503602.1, NP_503607.1, NP_503608.2, NP_503609.2, NP_503610.1, NP_503611.3, NP_503620.2, NP_503621.1, NP_503622.2, NP_503624.2, NP_503628.2, NP_503630.1, NP_504194.2, NP_504518.3, NP_504683.1, NP_505313.1, NP_505317.2, NP_505343.2, NP_505639.2, NP_506967.1, NP_506968.1, NP_506974.1, NP_507103.2, NP_507131.1, NP_507179.3, NP_507595.2, NP_507672.2, NP_507673.2, NP_507681.2, NP_507686.2		
OG0000008			NP_491435.2, NP_491436.1, NP_491437.1, NP_491438.1, NP_498344.3, NP_500410.2, NP_500912.2, NP_500913.1, NP_500931.3, NP_501680.2, NP_501933.1, NP_502633.1, NP_502984.3, NP_503278.2, NP_504060.2, NP_504309.1, NP_504311.1, NP_504312.1, NP_504313.2, NP_504314.2, NP_504315.1, NP_504316.1, NP_504317.2, NP_504343.2, NP_504810.2, NP_504811.2, NP_504812.1, NP_504813.2, NP_504816.2, NP_504818.2, NP_504820.2, NP_505597.2, NP_505671.1, NP_505672.2, NP_505692.2, NP_505728.2, NP_506073.2, NP_506074.2, NP_506200.1, NP_506203.2, NP_506209.2, NP_506210.1, NP_506211.1, NP_506729.1		
OG0000009		NP_476949.2, NP_477026.1, NP_477330.1, NP_523834.1, NP_573242.2	NP_490823.1, NP_491393.1, NP_492246.2, NP_496138.1, NP_496189.2, NP_500361.3, NP_509860.1, NP_510365.1, NP_510366.1, NP_510497.1	NP_000545.1, NP_002575.1, NP_003856.1, NP_005160.2, NP_005306.1, NP_006252.4, NP_006483.2, NP_008913.2, NP_036278.1, NP_038463.2, NP_039236.1, NP_055377.1, NP_068374.1, NP_068745.2, NP_114150.1, NP_115887.1, NP_116142.1	6183.Smp_000830.1, 6183.Smp_035650.1, 6183.Smp_053520.1, 6183.Smp_091160.1, 6183.Smp_124010.1, 6183.Smp_126560.1, 6183.Smp_140350.1, 6183.Smp_142440.1, 6183.Smp_175710.1
