Orthogroup	kog_cerevisiae_pos_go	protein_mansoni
OG0000000	NP_011428.1	6183.Smp_001085.1, 6183.Smp_004230.1, 6183.Smp_004530.1, 6183.Smp_004540.1, 6183.Smp_015160.1, 6183.Smp_061930.1, 6183.Smp_071210.1, 6183.Smp_072440.1, 6183.Smp_072670.1, 6183.Smp_079720.1, 6183.Smp_081030.1, 6183.Smp_082460.1, 6183.Smp_082500.1, 6183.Smp_091070.1, 6183.Smp_095200.1, 6183.Smp_097670.1, 6183.Smp_097680.1, 6183.Smp_100790.1, 6183.Smp_114740.1, 6183.Smp_122190.1, 6183.Smp_122320.1, 6183.Smp_123400.1, 6183.Smp_123720.1, 6183.Smp_124560.1, 6183.Smp_125830.1, 6183.Smp_126570.1, 6183.Smp_127260.1, 6183.Smp_130150.1, 6183.Smp_130720.1, 6183.Smp_131750.1, 6183.Smp_131920.1, 6183.Smp_132110.1, 6183.Smp_132360.1, 6183.Smp_132960.1, 6183.Smp_133870.1, 6183.Smp_136090.1, 6183.Smp_137290.1, 6183.Smp_138650.1, 6183.Smp_138820.1, 6183.Smp_139340.1, 6183.Smp_139730.1, 6183.Smp_139870.1, 6183.Smp_140280.1, 6183.Smp_141870.1, 6183.Smp_144150.1, 6183.Smp_145340.1, 6183.Smp_147130.1, 6183.Smp_149190.1, 6183.Smp_150000.1, 6183.Smp_151170.1, 6183.Smp_154310.1, 6183.Smp_155660.1, 6183.Smp_155710.1, 6183.Smp_155830.1, 6183.Smp_157030.1, 6183.Smp_159500.1, 6183.Smp_159610.1, 6183.Smp_160720.1, 6183.Smp_160980.1, 6183.Smp_160990.1, 6183.Smp_161690.1, 6183.Smp_162950.1, 6183.Smp_163370.1, 6183.Smp_163390.1, 6183.Smp_164870.1, 6183.Smp_165450.1, 6183.Smp_166600.1, 6183.Smp_166810.1, 6183.Smp_166950.1, 6183.Smp_167560.1, 6183.Smp_167720.1, 6183.Smp_168030.1, 6183.Smp_169810.1, 6183.Smp_170000.1, 6183.Smp_170190.1, 6183.Smp_172230.1, 6183.Smp_173140.1, 6183.Smp_173310.1, 6183.Smp_173950.1, 6183.Smp_174330.1, 6183.Smp_174460.1, 6183.Smp_174560.1, 6183.Smp_174600.1, 6183.Smp_175080.1, 6183.Smp_175880.1, 6183.Smp_177070.1, 6183.Smp_177750.1, 6183.Smp_179530.1, 6183.Smp_179640.1, 6183.Smp_180770.1, 6183.Smp_183420.1, 6183.Smp_184420.1, 6183.Smp_184840.1, 6183.Smp_185870.1, 6183.Smp_185890.1, 6183.Smp_186170.1, 6183.Smp_189170.1, 6183.Smp_189480.1, 6183.Smp_189980.1, 6183.Smp_190300.1, 6183.Smp_190540.1, 6183.Smp_190710.1, 6183.Smp_190760.1, 6183.Smp_192010.1, 6183.Smp_192230.1, 6183.Smp_192880.1, 6183.Smp_193940.1, 6183.Smp_193950.1, 6183.Smp_194440.1, 6183.Smp_198040.1, 6183.Smp_199970.1, 6183.Smp_212070.1
OG0000001		6183.Smp_107070.1, 6183.Smp_107330.1, 6183.Smp_107450.1, 6183.Smp_107470.1, 6183.Smp_107640.1, 6183.Smp_107650.1, 6183.Smp_108360.1, 6183.Smp_108730.1, 6183.Smp_109040.1, 6183.Smp_110790.1, 6183.Smp_111090.1, 6183.Smp_111100.1, 6183.Smp_111890.1, 6183.Smp_111950.1, 6183.Smp_111960.1, 6183.Smp_112120.1, 6183.Smp_112170.1, 6183.Smp_112640.1, 6183.Smp_114810.1, 6183.Smp_116920.1, 6183.Smp_117130.1, 6183.Smp_117160.1, 6183.Smp_117270.1, 6183.Smp_117280.1, 6183.Smp_117520.1, 6183.Smp_117550.1, 6183.Smp_142010.2, 6183.Smp_182030.1, 6183.Smp_182280.1, 6183.Smp_183180.1, 6183.Smp_183230.1, 6183.Smp_183240.1, 6183.Smp_183840.1, 6183.Smp_184590.1, 6183.Smp_184620.1, 6183.Smp_184630.1, 6183.Smp_184640.1, 6183.Smp_184720.1, 6183.Smp_184800.1, 6183.Smp_184870.1, 6183.Smp_184890.1, 6183.Smp_185070.1, 6183.Smp_185300.1, 6183.Smp_185390.1, 6183.Smp_185520.1, 6183.Smp_185710.1, 6183.Smp_186350.1, 6183.Smp_187080.1, 6183.Smp_190360.1, 6183.Smp_193510.1, 6183.Smp_193520.1, 6183.Smp_196060.1
OG0000002	NP_009616.1	6183.Smp_011430.1, 6183.Smp_013630.1, 6183.Smp_016230.1, 6183.Smp_055240.1, 6183.Smp_069720.1, 6183.Smp_083220.1, 6183.Smp_124580.1, 6183.Smp_125510.1, 6183.Smp_126050.1, 6183.Smp_129530.1, 6183.Smp_129830.1, 6183.Smp_131010.1, 6183.Smp_131600.1, 6183.Smp_132320.1, 6183.Smp_135610.1, 6183.Smp_135630.1, 6183.Smp_135640.1, 6183.Smp_135730.1, 6183.Smp_141740.1, 6183.Smp_145210.1, 6183.Smp_147830.1, 6183.Smp_148300.1, 6183.Smp_149010.1, 6183.Smp_149120.1, 6183.Smp_149140.1, 6183.Smp_149330.1, 6183.Smp_151540.1, 6183.Smp_151620.1, 6183.Smp_151630.1, 6183.Smp_155600.1, 6183.Smp_155810.1, 6183.Smp_156970.1, 6183.Smp_158870.1, 6183.Smp_159920.1, 6183.Smp_161520.1, 6183.Smp_162520.1, 6183.Smp_162550.1, 6183.Smp_162610.1, 6183.Smp_166440.1, 6183.Smp_167460.1, 6183.Smp_167470.1, 6183.Smp_176390.1, 6183.Smp_176470.1, 6183.Smp_176540.1, 6183.Smp_179750.1, 6183.Smp_192490.1, 6183.Smp_193230.1, 6183.Smp_196240.1, 6183.Smp_199910.1
OG0000003	NP_009406.1, NP_009450.1, NP_009451.1, NP_009549.1, NP_009567.1, NP_009909.2, NP_009910.2, NP_011064.3, NP_011087.3, NP_012086.1, NP_012560.1, NP_012562.1, NP_013136.1, NP_013668.1, NP_013672.1, NP_013759.1, NP_013765.1, NP_058138.3, NP_058139.1, NP_058140.1, NP_058142.3, NP_058143.1, NP_058146.3, NP_058147.3, NP_058148.1, NP_058150.1, NP_058152.1, NP_058157.1, NP_058158.1, NP_058160.1, NP_058163.1, NP_058165.3, NP_058169.1, NP_058171.1, NP_058174.3, NP_058175.1, NP_058178.1, NP_058181.1, NP_058183.1, NP_058185.3, NP_058186.1, NP_058189.1, NP_058191.1, NP_058193.1, NP_058195.1, NP_620387.1, NP_620389.3, NP_620390.1	
OG0000004	NP_010177.1	6183.Smp_000075.1, 6183.Smp_000830.1, 6183.Smp_001980.1, 6183.Smp_002640.1, 6183.Smp_013600.1, 6183.Smp_017020.1, 6183.Smp_027990.1, 6183.Smp_029620.1, 6183.Smp_030050.1, 6183.Smp_053520.1, 6183.Smp_060750.1, 6183.Smp_081620.1, 6183.Smp_087070.1, 6183.Smp_091160.1, 6183.Smp_124010.1, 6183.Smp_125600.1, 6183.Smp_126190.1, 6183.Smp_126560.1, 6183.Smp_126870.1, 6183.Smp_134690.1, 6183.Smp_136900.1, 6183.Smp_137140.1, 6183.Smp_138110.1, 6183.Smp_138140.1, 6183.Smp_140350.1, 6183.Smp_140730.1, 6183.Smp_142430.1, 6183.Smp_142440.1, 6183.Smp_142940.1, 6183.Smp_144380.1, 6183.Smp_145200.1, 6183.Smp_147640.1, 6183.Smp_152980.1, 6183.Smp_158000.1, 6183.Smp_160670.1, 6183.Smp_161270.1, 6183.Smp_163140.1, 6183.Smp_166150.1, 6183.Smp_170750.1, 6183.Smp_175710.1, 6183.Smp_186930.1, 6183.Smp_189380.1, 6183.Smp_202120.1
OG0000005		6183.Smp_010470.1, 6183.Smp_018690.1, 6183.Smp_043260.1, 6183.Smp_043270.1, 6183.Smp_043290.1, 6183.Smp_043300.1, 6183.Smp_043320.1, 6183.Smp_043340.1, 6183.Smp_058080.1, 6183.Smp_059400.1, 6183.Smp_083880.1, 6183.Smp_104210.1, 6183.Smp_118040.1, 6183.Smp_123350.1, 6183.Smp_126010.1, 6183.Smp_126730.1, 6183.Smp_127310.1, 6183.Smp_127720.1, 6183.Smp_132410.1, 6183.Smp_133550.1, 6183.Smp_134100.1, 6183.Smp_134350.1, 6183.Smp_134460.1, 6183.Smp_134820.1, 6183.Smp_141880.1, 6183.Smp_145520.1, 6183.Smp_145540.1, 6183.Smp_148210.1, 6183.Smp_149770.1, 6183.Smp_150180.1, 6183.Smp_152540.1, 6183.Smp_156210.1, 6183.Smp_159850.1, 6183.Smp_159860.1, 6183.Smp_169680.1, 6183.Smp_170020.1, 6183.Smp_172170.1, 6183.Smp_180030.1, 6183.Smp_180350.1, 6183.Smp_197700.1, 6183.Smp_202470.1, 6183.Smp_203500.1
OG0000006		6183.Smp_006920.1, 6183.Smp_009990.1, 6183.Smp_011700.1, 6183.Smp_027400.1, 6183.Smp_046190.1, 6183.Smp_074030.1, 6183.Smp_093930.2, 6183.Smp_110050.1, 6183.Smp_118100.1, 6183.Smp_120420.1, 6183.Smp_124850.1, 6183.Smp_125360.1, 6183.Smp_128550.1, 6183.Smp_128790.1, 6183.Smp_134800.1, 6183.Smp_136300.1, 6183.Smp_136550.1, 6183.Smp_137610.1, 6183.Smp_139480.1, 6183.Smp_149460.1, 6183.Smp_152680.1, 6183.Smp_156580.1, 6183.Smp_157300.1, 6183.Smp_162900.1, 6183.Smp_164810.1, 6183.Smp_164930.1, 6183.Smp_165470.1, 6183.Smp_169230.1, 6183.Smp_172200.1, 6183.Smp_173380.1, 6183.Smp_175590.1, 6183.Smp_182530.1, 6183.Smp_212730.1
OG0000007		6183.Smp_005710.1, 6183.Smp_086630.1, 6183.Smp_093070.1, 6183.Smp_102020.2, 6183.Smp_103640.1, 6183.Smp_113750.1, 6183.Smp_133400.1, 6183.Smp_154460.1, 6183.Smp_154590.1, 6183.Smp_155170.1, 6183.Smp_165590.1, 6183.Smp_165600.1, 6183.Smp_166470.1, 6183.Smp_173350.2, 6183.Smp_175670.1, 6183.Smp_179390.1, 6183.Smp_179420.1, 6183.Smp_179970.1, 6183.Smp_191400.1, 6183.Smp_192050.1, 6183.Smp_193380.1, 6183.Smp_194130.1, 6183.Smp_201330.1, 6183.Smp_202320.1, 6183.Smp_202420.1, 6183.Smp_202700.1, 6183.Smp_202840.1, 6183.Smp_202850.1, 6183.Smp_204710.1, 6183.Smp_204830.1, 6183.Smp_204840.1, 6183.Smp_205310.1
OG0000008	NP_009407.1, NP_009550.1, NP_009568.1, NP_010455.1, NP_012561.3, NP_012563.1, NP_013673.1, NP_013760.1, NP_013766.1, NP_036195.3, NP_058141.1, NP_058149.1, NP_058153.3, NP_058155.1, NP_058156.1, NP_058159.1, NP_058161.1, NP_058166.1, NP_058173.1, NP_058176.1, NP_058179.1, NP_058180.1, NP_058182.1, NP_058184.3, NP_058190.1, NP_058192.1, NP_058196.1, NP_620388.3	
OG0000009		6183.Smp_001890.1, 6183.Smp_002060.1, 6183.Smp_002070.1, 6183.Smp_002630.1, 6183.Smp_070240.1, 6183.Smp_070250.1, 6183.Smp_078490.1, 6183.Smp_120670.1, 6183.Smp_123090.1, 6183.Smp_123540.1, 6183.Smp_123550.1, 6183.Smp_127130.1, 6183.Smp_139450.1, 6183.Smp_154260.1, 6183.Smp_154290.1, 6183.Smp_159280.1, 6183.Smp_159290.1, 6183.Smp_176160.1, 6183.Smp_176170.1, 6183.Smp_176180.1, 6183.Smp_179480.1, 6183.Smp_193680.1, 6183.Smp_199890.1, 6183.Smp_210620.1
