Orthogroup	kog_humano_pos_go	protein_mansoni
OG0000000	NP_003341.1, NP_060495.2, NP_060859.4, NP_066918.2	6183.Smp_001085.1, 6183.Smp_004230.1, 6183.Smp_004530.1, 6183.Smp_004540.1, 6183.Smp_015160.1, 6183.Smp_061930.1, 6183.Smp_071210.1, 6183.Smp_072440.1, 6183.Smp_072670.1, 6183.Smp_079720.1, 6183.Smp_081030.1, 6183.Smp_082460.1, 6183.Smp_082500.1, 6183.Smp_091070.1, 6183.Smp_095200.1, 6183.Smp_097670.1, 6183.Smp_097680.1, 6183.Smp_100790.1, 6183.Smp_114740.1, 6183.Smp_122190.1, 6183.Smp_122320.1, 6183.Smp_123400.1, 6183.Smp_123720.1, 6183.Smp_124560.1, 6183.Smp_125830.1, 6183.Smp_126570.1, 6183.Smp_127260.1, 6183.Smp_130150.1, 6183.Smp_130720.1, 6183.Smp_131750.1, 6183.Smp_131920.1, 6183.Smp_132110.1, 6183.Smp_132360.1, 6183.Smp_132960.1, 6183.Smp_133870.1, 6183.Smp_136090.1, 6183.Smp_137290.1, 6183.Smp_138650.1, 6183.Smp_138820.1, 6183.Smp_139730.1, 6183.Smp_139870.1, 6183.Smp_140280.1, 6183.Smp_141870.1, 6183.Smp_144150.1, 6183.Smp_145340.1, 6183.Smp_147130.1, 6183.Smp_149190.1, 6183.Smp_150000.1, 6183.Smp_151170.1, 6183.Smp_154310.1, 6183.Smp_155660.1, 6183.Smp_155710.1, 6183.Smp_155830.1, 6183.Smp_157030.1, 6183.Smp_159500.1, 6183.Smp_159610.1, 6183.Smp_160720.1, 6183.Smp_160980.1, 6183.Smp_160990.1, 6183.Smp_161690.1, 6183.Smp_162950.1, 6183.Smp_163370.1, 6183.Smp_163390.1, 6183.Smp_164870.1, 6183.Smp_165450.1, 6183.Smp_166600.1, 6183.Smp_166810.1, 6183.Smp_166950.1, 6183.Smp_167560.1, 6183.Smp_167720.1, 6183.Smp_169810.1, 6183.Smp_170000.1, 6183.Smp_170190.1, 6183.Smp_172230.1, 6183.Smp_173140.1, 6183.Smp_173310.1, 6183.Smp_173950.1, 6183.Smp_174330.1, 6183.Smp_174460.1, 6183.Smp_174560.1, 6183.Smp_174600.1, 6183.Smp_175080.1, 6183.Smp_175880.1, 6183.Smp_177070.1, 6183.Smp_177750.1, 6183.Smp_179530.1, 6183.Smp_179640.1, 6183.Smp_180770.1, 6183.Smp_183420.1, 6183.Smp_184420.1, 6183.Smp_184840.1, 6183.Smp_185870.1, 6183.Smp_185890.1, 6183.Smp_186170.1, 6183.Smp_189170.1, 6183.Smp_189480.1, 6183.Smp_189980.1, 6183.Smp_190300.1, 6183.Smp_190540.1, 6183.Smp_190710.1, 6183.Smp_190760.1, 6183.Smp_192010.1, 6183.Smp_192230.1, 6183.Smp_192880.1, 6183.Smp_193940.1, 6183.Smp_193950.1, 6183.Smp_194440.1, 6183.Smp_198040.1, 6183.Smp_199970.1, 6183.Smp_212070.1
OG0000001	NP_001006657.1, NP_001026835.1, NP_001032824.2, NP_001071092.1, NP_001092096.1, NP_001096127.1, NP_001129745.1, NP_003399.1, NP_003405.4, NP_003407.1, NP_003408.1, NP_003410.1, NP_003414.2, NP_003417.2, NP_003419.3, NP_003420.2, NP_003421.2, NP_003431.2, NP_003432.1, NP_003437.2, NP_003443.2, NP_005640.2, NP_009067.2, NP_009078.1, NP_009084.2, NP_037381.2, NP_037388.3, NP_055162.1, NP_055295.2, NP_055465.1, NP_055713.1, NP_055745.1, NP_056209.2, NP_056936.2, NP_057173.2, NP_057304.1, NP_057349.2, NP_057620.3, NP_060012.3, NP_060572.3, NP_060770.3, NP_061025.5, NP_061145.2, NP_062537.2, NP_065127.5, NP_065703.1, NP_065906.1, NP_065984.3, NP_066385.2, NP_066574.2, NP_066986.1, NP_067645.3, NP_071386.3, NP_075558.2, NP_075562.2, NP_077011.1, NP_077301.4, NP_078896.3, NP_079009.3, NP_079303.2, NP_079316.2, NP_079465.3, NP_085057.3, NP_112234.3, NP_112495.2, NP_115809.1, NP_115973.2, NP_116068.2, NP_116078.4, NP_116177.1, NP_116214.2, NP_116227.1, NP_149973.1, NP_150630.2, NP_219363.2, NP_258429.2, NP_443084.2, NP_443092.1, NP_443114.1, NP_478137.1, NP_612143.2, NP_612383.1	
OG0000002		6183.Smp_107070.1, 6183.Smp_107330.1, 6183.Smp_107450.1, 6183.Smp_107470.1, 6183.Smp_107640.1, 6183.Smp_107650.1, 6183.Smp_108360.1, 6183.Smp_108730.1, 6183.Smp_109040.1, 6183.Smp_110790.1, 6183.Smp_111090.1, 6183.Smp_111100.1, 6183.Smp_111890.1, 6183.Smp_111950.1, 6183.Smp_111960.1, 6183.Smp_112120.1, 6183.Smp_112170.1, 6183.Smp_112640.1, 6183.Smp_114810.1, 6183.Smp_116920.1, 6183.Smp_117130.1, 6183.Smp_117160.1, 6183.Smp_117270.1, 6183.Smp_117280.1, 6183.Smp_117520.1, 6183.Smp_117550.1, 6183.Smp_142010.2, 6183.Smp_182030.1, 6183.Smp_182280.1, 6183.Smp_183180.1, 6183.Smp_183230.1, 6183.Smp_183240.1, 6183.Smp_183840.1, 6183.Smp_184590.1, 6183.Smp_184620.1, 6183.Smp_184630.1, 6183.Smp_184640.1, 6183.Smp_184720.1, 6183.Smp_184800.1, 6183.Smp_184870.1, 6183.Smp_184890.1, 6183.Smp_185070.1, 6183.Smp_185300.1, 6183.Smp_185390.1, 6183.Smp_185520.1, 6183.Smp_185710.1, 6183.Smp_186350.1, 6183.Smp_187080.1, 6183.Smp_190360.1, 6183.Smp_193510.1, 6183.Smp_193520.1, 6183.Smp_196060.1
OG0000003	NP_002579.2, NP_003726.1, NP_003727.1, NP_037472.2, NP_056484.2, NP_061735.1, NP_061736.1, NP_061737.1, NP_061738.1, NP_061739.2, NP_061740.2, NP_061741.1, NP_061742.1, NP_061743.1, NP_061744.1, NP_061745.1, NP_061746.1, NP_061747.2, NP_061748.1, NP_061749.1, NP_061750.1, NP_061751.1, NP_061752.1, NP_061753.1, NP_061754.1, NP_061755.1, NP_061756.1, NP_061757.1, NP_061758.1, NP_061759.1, NP_061760.2, NP_061761.1, NP_061762.2, NP_061763.1, NP_061992.3, NP_061993.3, NP_066008.2, NP_114088.2, NP_114089.1, NP_114400.1, NP_114475.1, NP_114476.1, NP_114477.1, NP_114479.1, NP_115266.1, NP_115779.1, NP_115782.1, NP_115783.1	6183.Smp_135640.1, 6183.Smp_161520.1, 6183.Smp_162550.1
OG0000004	NP_000234.1, NP_001129958.1, NP_003132.2, NP_003440.1, NP_005073.2, NP_006065.2, NP_006346.1, NP_006501.1, NP_006595.1, NP_006769.2, NP_008959.3, NP_056246.3, NP_057186.1, NP_057645.1, NP_060543.5, NP_060677.2, NP_061008.2, NP_065091.1, NP_066306.2, NP_067076.2, NP_067629.2, NP_077019.2, NP_079512.3, NP_115698.3, NP_116070.2, NP_116154.1, NP_148977.2, NP_149023.2, NP_149082.1, NP_150232.2, NP_203128.1, NP_291027.3, NP_439893.2, NP_477514.1, NP_619645.1, NP_620155.1, NP_660215.1	
OG0000005	NP_003413.2, NP_003430.1, NP_003438.1, NP_003441.1, NP_003446.2, NP_003447.2, NP_005732.2, NP_006289.2, NP_006290.1, NP_008896.2, NP_008922.1, NP_009062.2, NP_037382.2, NP_055334.2, NP_055384.1, NP_057642.1, NP_060378.1, NP_060807.2, NP_061121.2, NP_061983.2, NP_065704.2, NP_076415.3, NP_077279.1, NP_079507.1, NP_112161.3, NP_115540.2, NP_115723.1, NP_115896.1, NP_116141.1, NP_116194.2, NP_149987.2, NP_598009.1	
OG0000006		6183.Smp_005710.1, 6183.Smp_086630.1, 6183.Smp_093070.1, 6183.Smp_102020.2, 6183.Smp_103640.1, 6183.Smp_113750.1, 6183.Smp_133400.1, 6183.Smp_154460.1, 6183.Smp_154590.1, 6183.Smp_155170.1, 6183.Smp_165590.1, 6183.Smp_165600.1, 6183.Smp_166470.1, 6183.Smp_173350.2, 6183.Smp_175670.1, 6183.Smp_179390.1, 6183.Smp_179420.1, 6183.Smp_179970.1, 6183.Smp_191400.1, 6183.Smp_192050.1, 6183.Smp_193380.1, 6183.Smp_194130.1, 6183.Smp_201330.1, 6183.Smp_202320.1, 6183.Smp_202420.1, 6183.Smp_202700.1, 6183.Smp_202840.1, 6183.Smp_202850.1, 6183.Smp_204710.1, 6183.Smp_204830.1, 6183.Smp_204840.1, 6183.Smp_205310.1
OG0000007	NP_060146.2	6183.Smp_000120.1, 6183.Smp_018510.1, 6183.Smp_025180.1, 6183.Smp_038920.1, 6183.Smp_106390.1, 6183.Smp_154080.1, 6183.Smp_158010.1, 6183.Smp_164350.1, 6183.Smp_167710.1, 6183.Smp_168030.1, 6183.Smp_168700.1, 6183.Smp_178530.1, 6183.Smp_182910.1, 6183.Smp_183860.1, 6183.Smp_184750.1, 6183.Smp_185370.1, 6183.Smp_185440.1, 6183.Smp_188900.1, 6183.Smp_190320.1, 6183.Smp_190590.1, 6183.Smp_192040.1, 6183.Smp_194000.1, 6183.Smp_195110.1, 6183.Smp_195120.1, 6183.Smp_195130.1, 6183.Smp_195140.1, 6183.Smp_195150.1, 6183.Smp_195160.1, 6183.Smp_197110.1
OG0000008	NP_001248.1, NP_001783.2, NP_001784.2, NP_001785.2, NP_001786.2, NP_001787.2, NP_001788.2, NP_001932.2, NP_001933.2, NP_001934.2, NP_001935.2, NP_004052.2, NP_004053.1, NP_004054.3, NP_004351.1, NP_004923.1, NP_004924.1, NP_004925.1, NP_004939.1, NP_004940.1, NP_006718.2, NP_057363.3, NP_066976.1, NP_067071.1, NP_077739.1, NP_077740.1, NP_077741.2, NP_114097.2, NP_387450.1	
OG0000009	NP_001639.1, NP_001691.1, NP_001827.1, NP_001902.1, NP_001919.2, NP_001963.1, NP_002095.1, NP_002248.1, NP_002760.1, NP_002761.1, NP_002762.3, NP_002765.1, NP_002767.2, NP_002768.3, NP_004122.2, NP_004908.4, NP_005037.1, NP_005308.2, NP_005542.1, NP_006135.2, NP_006844.1, NP_009127.1, NP_031369.3, NP_036559.1, NP_056411.1, NP_059979.2, NP_071329.3, NP_219491.1	
