Orthogroup	costa_droso_pos_go	protein_mansoni
OG0000000		6183.Smp_001085.1, 6183.Smp_004230.1, 6183.Smp_004530.1, 6183.Smp_004540.1, 6183.Smp_015160.1, 6183.Smp_061930.1, 6183.Smp_071210.1, 6183.Smp_072440.1, 6183.Smp_072670.1, 6183.Smp_079720.1, 6183.Smp_081030.1, 6183.Smp_082460.1, 6183.Smp_082500.1, 6183.Smp_091070.1, 6183.Smp_095200.1, 6183.Smp_097670.1, 6183.Smp_097680.1, 6183.Smp_100790.1, 6183.Smp_101450.1, 6183.Smp_114740.1, 6183.Smp_122190.1, 6183.Smp_122320.1, 6183.Smp_123400.1, 6183.Smp_123720.1, 6183.Smp_124560.1, 6183.Smp_125830.1, 6183.Smp_126570.1, 6183.Smp_127260.1, 6183.Smp_130150.1, 6183.Smp_130720.1, 6183.Smp_131750.1, 6183.Smp_131920.1, 6183.Smp_132110.1, 6183.Smp_132360.1, 6183.Smp_132960.1, 6183.Smp_133870.1, 6183.Smp_136090.1, 6183.Smp_137290.1, 6183.Smp_138650.1, 6183.Smp_138820.1, 6183.Smp_139340.1, 6183.Smp_139730.1, 6183.Smp_139870.1, 6183.Smp_140280.1, 6183.Smp_141870.1, 6183.Smp_144150.1, 6183.Smp_145340.1, 6183.Smp_147130.1, 6183.Smp_149190.1, 6183.Smp_150000.1, 6183.Smp_151170.1, 6183.Smp_154310.1, 6183.Smp_155660.1, 6183.Smp_155710.1, 6183.Smp_155830.1, 6183.Smp_157030.1, 6183.Smp_157510.1, 6183.Smp_159500.1, 6183.Smp_159610.1, 6183.Smp_160720.1, 6183.Smp_160980.1, 6183.Smp_160990.1, 6183.Smp_161690.1, 6183.Smp_162950.1, 6183.Smp_163370.1, 6183.Smp_163390.1, 6183.Smp_164870.1, 6183.Smp_165450.1, 6183.Smp_166600.1, 6183.Smp_166810.1, 6183.Smp_166950.1, 6183.Smp_167560.1, 6183.Smp_167720.1, 6183.Smp_169810.1, 6183.Smp_170000.1, 6183.Smp_170190.1, 6183.Smp_172230.1, 6183.Smp_173140.1, 6183.Smp_173310.1, 6183.Smp_173950.1, 6183.Smp_174330.1, 6183.Smp_174460.1, 6183.Smp_174560.1, 6183.Smp_174600.1, 6183.Smp_175080.1, 6183.Smp_175880.1, 6183.Smp_177070.1, 6183.Smp_177750.1, 6183.Smp_179530.1, 6183.Smp_179640.1, 6183.Smp_180770.1, 6183.Smp_183420.1, 6183.Smp_184420.1, 6183.Smp_184840.1, 6183.Smp_185870.1, 6183.Smp_185890.1, 6183.Smp_186170.1, 6183.Smp_189170.1, 6183.Smp_189480.1, 6183.Smp_189980.1, 6183.Smp_190300.1, 6183.Smp_190540.1, 6183.Smp_190710.1, 6183.Smp_190760.1, 6183.Smp_192010.1, 6183.Smp_192230.1, 6183.Smp_192880.1, 6183.Smp_193940.1, 6183.Smp_193950.1, 6183.Smp_194440.1, 6183.Smp_198040.1, 6183.Smp_199970.1, 6183.Smp_212070.1
OG0000001	DEG20070221	6183.Smp_004910.1, 6183.Smp_005670.1, 6183.Smp_008230.1, 6183.Smp_014660.2, 6183.Smp_022810.1, 6183.Smp_025740.1, 6183.Smp_040570.1, 6183.Smp_045990.1, 6183.Smp_046000.1, 6183.Smp_055670.1, 6183.Smp_059570.1, 6183.Smp_059690.2, 6183.Smp_062300.1, 6183.Smp_062510.1, 6183.Smp_062680.1, 6183.Smp_063070.1, 6183.Smp_067140.1, 6183.Smp_069900.1, 6183.Smp_071250.1, 6183.Smp_071630.1, 6183.Smp_072140.1, 6183.Smp_079430.2, 6183.Smp_081190.1, 6183.Smp_082810.2, 6183.Smp_084940.3, 6183.Smp_104110.1, 6183.Smp_104310.1, 6183.Smp_104670.1, 6183.Smp_125170.1, 6183.Smp_129070.1, 6183.Smp_129350.1, 6183.Smp_130230.1, 6183.Smp_132330.1, 6183.Smp_132500.1, 6183.Smp_142450.1, 6183.Smp_146600.1, 6183.Smp_147260.1, 6183.Smp_149440.1, 6183.Smp_150830.1, 6183.Smp_154580.1, 6183.Smp_163580.1, 6183.Smp_165570.1, 6183.Smp_169460.1, 6183.Smp_169470.1, 6183.Smp_170770.1, 6183.Smp_172740.1, 6183.Smp_173990.1, 6183.Smp_174780.1, 6183.Smp_176050.1, 6183.Smp_179910.1, 6183.Smp_190370.1, 6183.Smp_198010.1, 6183.Smp_210430.1
OG0000002		6183.Smp_107070.1, 6183.Smp_107330.1, 6183.Smp_107450.1, 6183.Smp_107470.1, 6183.Smp_107640.1, 6183.Smp_107650.1, 6183.Smp_108360.1, 6183.Smp_108730.1, 6183.Smp_109040.1, 6183.Smp_110790.1, 6183.Smp_111090.1, 6183.Smp_111100.1, 6183.Smp_111890.1, 6183.Smp_111950.1, 6183.Smp_111960.1, 6183.Smp_112120.1, 6183.Smp_112170.1, 6183.Smp_112640.1, 6183.Smp_114810.1, 6183.Smp_116920.1, 6183.Smp_117130.1, 6183.Smp_117160.1, 6183.Smp_117270.1, 6183.Smp_117280.1, 6183.Smp_117520.1, 6183.Smp_117550.1, 6183.Smp_142010.2, 6183.Smp_182030.1, 6183.Smp_182280.1, 6183.Smp_183180.1, 6183.Smp_183230.1, 6183.Smp_183240.1, 6183.Smp_183840.1, 6183.Smp_184590.1, 6183.Smp_184620.1, 6183.Smp_184630.1, 6183.Smp_184640.1, 6183.Smp_184720.1, 6183.Smp_184800.1, 6183.Smp_184870.1, 6183.Smp_184890.1, 6183.Smp_185070.1, 6183.Smp_185300.1, 6183.Smp_185390.1, 6183.Smp_185520.1, 6183.Smp_185710.1, 6183.Smp_186350.1, 6183.Smp_187080.1, 6183.Smp_190360.1, 6183.Smp_193510.1, 6183.Smp_193520.1, 6183.Smp_196060.1
OG0000003	DEG20070170	6183.Smp_011430.1, 6183.Smp_013630.1, 6183.Smp_016230.1, 6183.Smp_055240.1, 6183.Smp_069720.1, 6183.Smp_083220.1, 6183.Smp_124580.1, 6183.Smp_125510.1, 6183.Smp_126050.1, 6183.Smp_129530.1, 6183.Smp_129830.1, 6183.Smp_131010.1, 6183.Smp_131600.1, 6183.Smp_132320.1, 6183.Smp_135610.1, 6183.Smp_135630.1, 6183.Smp_135640.1, 6183.Smp_135730.1, 6183.Smp_141740.1, 6183.Smp_145210.1, 6183.Smp_147830.1, 6183.Smp_148300.1, 6183.Smp_149010.1, 6183.Smp_149120.1, 6183.Smp_149140.1, 6183.Smp_149330.1, 6183.Smp_151540.1, 6183.Smp_151620.1, 6183.Smp_151630.1, 6183.Smp_155600.1, 6183.Smp_155810.1, 6183.Smp_156970.1, 6183.Smp_158870.1, 6183.Smp_159920.1, 6183.Smp_161520.1, 6183.Smp_162520.1, 6183.Smp_162550.1, 6183.Smp_162610.1, 6183.Smp_166440.1, 6183.Smp_167460.1, 6183.Smp_167470.1, 6183.Smp_176390.1, 6183.Smp_176470.1, 6183.Smp_176540.1, 6183.Smp_179750.1, 6183.Smp_192490.1, 6183.Smp_193230.1, 6183.Smp_196240.1, 6183.Smp_199910.1
OG0000004		6183.Smp_010470.1, 6183.Smp_018690.1, 6183.Smp_043260.1, 6183.Smp_043270.1, 6183.Smp_043290.1, 6183.Smp_043300.1, 6183.Smp_043320.1, 6183.Smp_043340.1, 6183.Smp_058080.1, 6183.Smp_059400.1, 6183.Smp_083880.1, 6183.Smp_104210.1, 6183.Smp_118040.1, 6183.Smp_123350.1, 6183.Smp_126010.1, 6183.Smp_126730.1, 6183.Smp_127310.1, 6183.Smp_127720.1, 6183.Smp_132410.1, 6183.Smp_133550.1, 6183.Smp_134100.1, 6183.Smp_134350.1, 6183.Smp_134460.1, 6183.Smp_134820.1, 6183.Smp_141880.1, 6183.Smp_145520.1, 6183.Smp_145540.1, 6183.Smp_148210.1, 6183.Smp_149770.1, 6183.Smp_150180.1, 6183.Smp_152540.1, 6183.Smp_156210.1, 6183.Smp_159850.1, 6183.Smp_159860.1, 6183.Smp_169680.1, 6183.Smp_170020.1, 6183.Smp_172170.1, 6183.Smp_180030.1, 6183.Smp_180350.1, 6183.Smp_197700.1, 6183.Smp_202470.1, 6183.Smp_203500.1
OG0000005		6183.Smp_003000.1, 6183.Smp_007510.1, 6183.Smp_008260.1, 6183.Smp_041820.1, 6183.Smp_047900.1, 6183.Smp_068960.2, 6183.Smp_073340.1, 6183.Smp_074080.1, 6183.Smp_080730.1, 6183.Smp_090980.1, 6183.Smp_094760.1, 6183.Smp_099030.1, 6183.Smp_102650.1, 6183.Smp_103950.1, 6183.Smp_119320.1, 6183.Smp_124130.1, 6183.Smp_125310.1, 6183.Smp_133020.1, 6183.Smp_133490.1, 6183.Smp_134260.1, 6183.Smp_137370.1, 6183.Smp_140700.1, 6183.Smp_142050.1, 6183.Smp_150040.2, 6183.Smp_155330.1, 6183.Smp_155720.1, 6183.Smp_156990.1, 6183.Smp_157240.1, 6183.Smp_163380.1, 6183.Smp_172240.1, 6183.Smp_172700.1, 6183.Smp_176620.1, 6183.Smp_177120.1, 6183.Smp_191040.1, 6183.Smp_198810.1, 6183.Smp_210970.1
OG0000006		6183.Smp_000075.1, 6183.Smp_001980.1, 6183.Smp_002640.1, 6183.Smp_013600.1, 6183.Smp_017020.1, 6183.Smp_027990.1, 6183.Smp_029620.1, 6183.Smp_030050.1, 6183.Smp_053520.1, 6183.Smp_060750.1, 6183.Smp_081620.1, 6183.Smp_087070.1, 6183.Smp_091160.1, 6183.Smp_124010.1, 6183.Smp_125600.1, 6183.Smp_126190.1, 6183.Smp_126870.1, 6183.Smp_134690.1, 6183.Smp_136900.1, 6183.Smp_137140.1, 6183.Smp_138110.1, 6183.Smp_138140.1, 6183.Smp_140350.1, 6183.Smp_140730.1, 6183.Smp_144380.1, 6183.Smp_145200.1, 6183.Smp_147640.1, 6183.Smp_152980.1, 6183.Smp_158000.1, 6183.Smp_161270.1, 6183.Smp_163140.1, 6183.Smp_175710.1, 6183.Smp_186930.1, 6183.Smp_189380.1, 6183.Smp_202120.1
OG0000007		6183.Smp_000120.1, 6183.Smp_018510.1, 6183.Smp_025180.1, 6183.Smp_038920.1, 6183.Smp_050820.1, 6183.Smp_066260.1, 6183.Smp_096360.1, 6183.Smp_106390.1, 6183.Smp_140530.1, 6183.Smp_154080.1, 6183.Smp_158010.1, 6183.Smp_164350.1, 6183.Smp_167710.1, 6183.Smp_168030.1, 6183.Smp_168700.1, 6183.Smp_178530.1, 6183.Smp_182910.1, 6183.Smp_183860.1, 6183.Smp_184750.1, 6183.Smp_185370.1, 6183.Smp_185440.1, 6183.Smp_188900.1, 6183.Smp_190320.1, 6183.Smp_190590.1, 6183.Smp_192040.1, 6183.Smp_194000.1, 6183.Smp_195110.1, 6183.Smp_195120.1, 6183.Smp_195130.1, 6183.Smp_195140.1, 6183.Smp_195150.1, 6183.Smp_195160.1, 6183.Smp_197110.1
OG0000008		6183.Smp_005710.1, 6183.Smp_086630.1, 6183.Smp_093070.1, 6183.Smp_102020.2, 6183.Smp_103640.1, 6183.Smp_113750.1, 6183.Smp_133400.1, 6183.Smp_154460.1, 6183.Smp_154590.1, 6183.Smp_155170.1, 6183.Smp_165590.1, 6183.Smp_165600.1, 6183.Smp_166470.1, 6183.Smp_173350.2, 6183.Smp_175670.1, 6183.Smp_179390.1, 6183.Smp_179420.1, 6183.Smp_179970.1, 6183.Smp_191400.1, 6183.Smp_192050.1, 6183.Smp_193380.1, 6183.Smp_194130.1, 6183.Smp_201330.1, 6183.Smp_202320.1, 6183.Smp_202420.1, 6183.Smp_202700.1, 6183.Smp_202840.1, 6183.Smp_202850.1, 6183.Smp_204710.1, 6183.Smp_204830.1, 6183.Smp_204840.1, 6183.Smp_205310.1
OG0000009		6183.Smp_011660.1, 6183.Smp_017900.1, 6183.Smp_018290.1, 6183.Smp_053560.1, 6183.Smp_065290.1, 6183.Smp_077180.1, 6183.Smp_080860.1, 6183.Smp_085690.1, 6183.Smp_085700.1, 6183.Smp_088920.1, 6183.Smp_090890.1, 6183.Smp_094250.1, 6183.Smp_098840.1, 6183.Smp_121780.1, 6183.Smp_123480.1, 6183.Smp_135360.1, 6183.Smp_141580.1, 6183.Smp_145190.1, 6183.Smp_147450.1, 6183.Smp_152330.1, 6183.Smp_153170.1, 6183.Smp_157370.1, 6183.Smp_162710.1, 6183.Smp_164380.1, 6183.Smp_165210.1, 6183.Smp_171370.1, 6183.Smp_172410.1, 6183.Smp_181490.1, 6183.Smp_194610.1, 6183.Smp_199420.1
